,dewPt
66.0,0.022019481410344356
64.0,0.02108199570128504
57.0,0.02099053368088901
55.0,0.019801527415740615
56.0,0.01955000685965153
65.0,0.0191612932729684
63.0,0.018818310696483286
54.0,0.018589655645493208
30.0,0.018543924635295195
59.0,0.017880824987423972
58.0,0.017766497461928935
38.0,0.017537842410938857
61.0,0.01751497690583985
67.0,0.01751497690583985
52.0,0.017263456349750766
62.0,0.01721772533955275
39.0,0.017171994329354734
44.0,0.017171994329354734
34.0,0.017080532308958705
28.0,0.01692047377326565
36.0,0.016897608268166643
68.0,0.01673754973247359
37.0,0.01671468422737458
31.0,0.016417432661087483
50.0,0.016211643115196416
35.0,0.0161659121049984
45.0,0.016120181094800384
43.0,0.016097315589701375
46.0,0.015982988064206338
40.0,0.015845795033612293
53.0,0.015800064023414277
42.0,0.01547994695202817
60.0,0.01538848493163214
27.0,0.015251291901038093
51.0,0.015228426395939087
47.0,0.014885443819453972
48.0,0.014679654273562904
41.0,0.014542461242968856
29.0,0.014542461242968856
70.0,0.014496730232770842
33.0,0.014085151140988704
49.0,0.013947958110394659
69.0,0.013947958110394659
32.0,0.01335345497782046
25.0,0.013010472401335346
26.0,0.0128732793707413
24.0,0.01209585219737504
21.0,0.011775735125988934
18.0,0.01152421456989985
23.0,0.011455618054602826
71.0,0.010998307952622674
20.0,0.01074678739653359
19.0,0.00996936022316733
16.0,0.009923629212969314
22.0,0.009855032697672291
17.0,0.009512050121187178
14.0,0.007568482187771528
12.0,0.007385558146979467
72.0,0.0072026341061874055
15.0,0.00715690309598939
13.0,0.0060593588512370235
10.0,0.005945031325741985
11.0,0.005922165820642978
9.0,0.005007545616682672
5.0,0.004664563040197558
7.0,0.004527370009603512
8.0,0.004367311473910459
73.0,0.0042072529382174055
6.0,0.003910001371930306
4.0,0.003841404856633283
-1.0,0.0034298257648511456
3.0,0.003406960259752138
-2.0,0.0032240362189600766
0.0,0.0032011707138610694
1.0,0.0030639776832670235
74.0,0.003018246673069008
-5.0,0.0029267846526729777
-4.0,0.0028581881373759546
2.0,0.002789591622078932
-6.0,0.002652398591484886
-3.0,0.0022865505099007636
-8.0,0.0020578954589106874
-7.0,0.0020578954589106874
75.0,0.0017377783875245805
-10.0,0.0013033337906434353
-9.0,0.0012118717702474047
-12.0,0.0009832167192573285
-11.0,0.0008917546988612979
-13.0,0.0008460236886632825
76.0,0.0007088306580692367
-17.0,0.0005487721223761833
-16.0,0.0004344445968811451
-14.0,0.00041157909178213747
77.0,0.0002972515662870993
78.0,0.00020578954589106874
-15.0,0.00016005853569305345
-19.0,0.00011432752549503818
-24.0,9.146202039603055e-05
-21.0,6.859651529702291e-05
79.0,6.859651529702291e-05
-22.0,6.859651529702291e-05
-18.0,4.573101019801528e-05
-23.0,4.573101019801528e-05
-20.0,4.573101019801528e-05
