,heat_index
73.0,0.023848721818264966
72.0,0.022293867471532447
71.0,0.021859422874651303
70.0,0.021036264691087027
74.0,0.02071614761970092
69.0,0.0197557964055426
79.0,0.01955000685965153
75.0,0.019207024283166414
76.0,0.01868111766588924
67.0,0.018566790140394203
68.0,0.017743631956829927
66.0,0.017080532308958705
34.0,0.016989070288562676
50.0,0.016600356701879544
80.0,0.01589152604381031
64.0,0.015822929528513285
48.0,0.015800064023414277
47.0,0.015525677962226186
63.0,0.015434215941830155
62.0,0.01529702291123611
46.0,0.015159829880642064
65.0,0.014771116293958934
45.0,0.014633923263364887
61.0,0.014542461242968856
30.0,0.014496730232770842
44.0,0.01442813371747382
36.0,0.014405268212374811
39.0,0.014290940686879774
33.0,0.014290940686879774
60.0,0.014199478666483743
38.0,0.013879361595097636
37.0,0.013787899574701605
49.0,0.013787899574701605
35.0,0.01326199295742443
42.0,0.013239127452325422
41.0,0.013170530937028399
59.0,0.013124799926830385
57.0,0.013079068916632368
51.0,0.012804682855444277
58.0,0.012804682855444277
54.0,0.01278181735034527
52.0,0.012758951845246261
43.0,0.012598893309553208
40.0,0.012576027804454201
56.0,0.01248456578405817
53.0,0.01239310376366214
28.0,0.012233045227969086
82.0,0.011775735125988934
81.0,0.011684273105592903
55.0,0.01161567659029588
31.0,0.010701056386335573
29.0,0.010518132345543513
32.0,0.010243746284355421
27.0,0.009649243151781223
25.0,0.00937485709059313
84.0,0.009214798554900077
83.0,0.00880321946311794
21.0,0.008094388805048704
85.0,0.008094388805048704
26.0,0.007865733754058628
19.0,0.007637078703068551
23.0,0.007294096126583436
24.0,0.006813920519504276
22.0,0.006425206932821146
86.0,0.00619655188183107
20.0,0.006150820871633054
18.0,0.0059678968308409935
78.0,0.005670645264553894
88.0,0.005556317739058856
87.0,0.005053276626880688
16.0,0.005007545616682672
17.0,0.004801756070791603
89.0,0.004618832029999543
14.0,0.004001463392326337
13.0,0.0032926327342570998
15.0,0.0031783052087620616
90.0,0.003018246673069008
10.0,0.0029267846526729777
12.0,0.0028581881373759546
7.0,0.002835322632276947
91.0,0.002766726116979924
9.0,0.0025380710659898475
11.0,0.0024923400557918325
92.0,0.0023551470251977867
8.0,0.0021722229844057255
4.0,0.00212649197420771
2.0,0.0019892989436136642
3.0,0.0019892989436136642
6.0,0.001966433438514657
5.0,0.001829240407920611
93.0,0.0017149128824255728
94.0,0.0016005853569305347
95.0,0.0015319888416335118
1.0,0.0011890062651483972
0.0,0.0010518132345543514
96.0,0.0010289477294553437
97.0,0.0008917546988612979
-1.0,0.0008460236886632825
98.0,0.0007774271733662596
-2.0,0.0005945031325741986
99.0,0.000503041112178168
-5.0,0.0002972515662870993
-3.0,0.00027438606118809165
101.0,0.00027438606118809165
100.0,0.000251520556089084
-4.0,0.00022865505099007636
-9.0,0.00022865505099007636
-6.0,0.00022865505099007636
-10.0,0.00020578954589106874
77.0,0.00016005853569305345
102.0,0.00016005853569305345
-14.0,0.00013719303059404582
103.0,0.00013719303059404582
-11.0,0.00011432752549503818
-12.0,0.00011432752549503818
-8.0,9.146202039603055e-05
109.0,9.146202039603055e-05
-7.0,6.859651529702291e-05
-13.0,4.573101019801528e-05
106.0,4.573101019801528e-05
107.0,2.286550509900764e-05
