,wdir
200.0,0.04993826313623268
210.0,0.046394109845886496
240.0,0.03907714821420405
190.0,0.038391183061233826
270.0,0.036150363561531076
250.0,0.035761649974847945
220.0,0.03459550921479856
180.0,0.03400100608222436
260.0,0.03358942699044222
280.0,0.030731238853066264
230.0,0.030433987286779166
170.0,0.0293364430420268
290.0,0.028879132940046646
30.0,0.028307495312571453
20.0,0.027758723190195272
10.0,0.025174921114007407
300.0,0.025152055608908402
80.0,0.02329994969588878
90.0,0.022636850048017562
330.0,0.021653633328760233
310.0,0.02149357479306718
320.0,0.021379247267572142
160.0,0.021333516257374126
60.0,0.02108199570128504
360.0,0.021059130196186035
70.0,0.02071614761970092
40.0,0.02000731696163168
350.0,0.019412813829057483
50.0,0.018864041706681302
100.0,0.018658252160790232
340.0,0.016691818722275577
140.0,0.016074450084602367
150.0,0.01589152604381031
110.0,0.014771116293958934
130.0,0.013879361595097636
120.0,0.013216261947226414
