valid_time_gmt,min_temp
2012-02-29 23:53:00,38.0
2012-03-04 15:53:00,74.0
2012-03-05 15:53:00,73.0
2012-03-08 03:53:00,40.0
2012-03-08 09:53:00,39.0
2012-03-08 23:53:00,39.0
2012-03-19 00:53:00,41.0
2012-03-19 04:53:00,38.0
2012-03-19 10:53:00,38.0
2012-03-20 00:53:00,38.0
2012-03-20 04:53:00,41.0
2012-03-20 10:53:00,41.0
2012-03-21 00:53:00,41.0
2012-04-14 04:53:00,41.0
2012-04-14 10:53:00,39.0
2012-04-15 00:53:00,39.0
2012-04-17 16:53:00,74.0
2012-04-20 16:53:00,78.0
2012-04-21 16:53:00,75.0
2012-05-08 16:53:00,78.0
2012-05-09 16:53:00,79.0
2012-05-16 16:53:00,76.0
2012-05-17 16:53:00,73.0
2012-05-20 16:53:00,75.0
2012-05-21 16:53:00,77.0
2012-05-22 16:53:00,74.0
2012-05-23 16:53:00,73.0
2012-05-28 16:53:00,75.0
2012-05-29 16:53:00,74.0
2012-05-31 16:53:00,73.0
2012-06-01 16:53:00,75.0
2012-06-07 16:53:00,75.0
2012-06-17 16:53:00,74.0
2012-06-24 16:53:00,73.0
2012-06-26 16:53:00,75.0
2012-06-27 16:53:00,79.0
2012-06-28 16:53:00,80.0
