,min_temp
53.0,0.0030934213239843266
52.0,0.0030934213239843266
54.0,0.002474737059187461
50.0,0.0022685089709218397
49.0,0.0020622808826562177
46.0,0.0020622808826562177
51.0,0.001856052794390596
38.0,0.001856052794390596
55.0,0.0016498247061249743
58.0,0.0014435966178593523
56.0,0.0014435966178593523
47.0,0.0012373685295937306
57.0,0.0012373685295937306
48.0,0.0010311404413281089
41.0,0.0010311404413281089
60.0,0.0008249123530624871
62.0,0.0008249123530624871
40.0,0.0008249123530624871
45.0,0.0008249123530624871
36.0,0.0006186842647968653
44.0,0.0006186842647968653
61.0,0.0006186842647968653
37.0,0.0006186842647968653
35.0,0.0006186842647968653
59.0,0.0006186842647968653
39.0,0.0006186842647968653
42.0,0.00041245617653124357
43.0,0.00041245617653124357
68.0,0.00020622808826562179
67.0,0.00020622808826562179
34.0,0.00020622808826562179
70.0,0.00020622808826562179
31.0,0.00020622808826562179
