,max_temp
64.0,0.0030934213239843266
69.0,0.0022685089709218397
56.0,0.0020622808826562177
71.0,0.0016498247061249743
66.0,0.0014435966178593523
72.0,0.0014435966178593523
70.0,0.0014435966178593523
67.0,0.0012373685295937306
59.0,0.0012373685295937306
73.0,0.0012373685295937306
79.0,0.0012373685295937306
74.0,0.0012373685295937306
76.0,0.0010311404413281089
65.0,0.0010311404413281089
75.0,0.0010311404413281089
62.0,0.0010311404413281089
58.0,0.0010311404413281089
60.0,0.0010311404413281089
53.0,0.0008249123530624871
78.0,0.0008249123530624871
83.0,0.0008249123530624871
89.0,0.0008249123530624871
68.0,0.0008249123530624871
63.0,0.0008249123530624871
57.0,0.0008249123530624871
61.0,0.0006186842647968653
77.0,0.0006186842647968653
87.0,0.0006186842647968653
55.0,0.0006186842647968653
81.0,0.0006186842647968653
91.0,0.00041245617653124357
80.0,0.00041245617653124357
54.0,0.00041245617653124357
52.0,0.00041245617653124357
96.0,0.00020622808826562179
88.0,0.00020622808826562179
103.0,0.00020622808826562179
51.0,0.00020622808826562179
94.0,0.00020622808826562179
