,precip_total
0.28,0.0010311404413281089
0.01,0.0008249123530624871
0.12,0.0006186842647968653
0.2,0.0006186842647968653
0.09,0.0006186842647968653
0.05,0.00041245617653124357
0.1,0.00041245617653124357
0.02,0.00041245617653124357
0.13,0.00041245617653124357
0.22,0.00041245617653124357
0.04,0.00041245617653124357
0.98,0.00020622808826562179
0.19,0.00020622808826562179
0.74,0.00020622808826562179
0.59,0.00020622808826562179
0.03,0.00020622808826562179
1.0,0.00020622808826562179
0.54,0.00020622808826562179
0.45,0.00020622808826562179
0.36,0.00020622808826562179
0.38,0.00020622808826562179
0.35,0.00020622808826562179
0.07,0.00020622808826562179
0.06,0.00020622808826562179
0.08,0.00020622808826562179
0.26,0.00020622808826562179
0.23,0.00020622808826562179
0.24,0.00020622808826562179
1.69,0.00020622808826562179
0.32,0.00020622808826562179
0.27,0.00020622808826562179
0.57,0.00020622808826562179
0.58,0.00020622808826562179
0.25,0.00020622808826562179
