,heat_index
55.0,0.058775005155702206
57.0,0.05836254897917096
56.0,0.05382553103732728
58.0,0.051763250154671064
54.0,0.05093833780160858
59.0,0.05073210971334296
60.0,0.04495772324190555
61.0,0.04062693338832749
53.0,0.03918333677046814
62.0,0.03526500309342132
51.0,0.034646318828624456
52.0,0.032171581769437
50.0,0.030934213239843265
63.0,0.029903072798515156
64.0,0.027634563827593318
49.0,0.024953598680140236
65.0,0.023097545885749637
66.0,0.021035265003093422
48.0,0.020210352650030933
47.0,0.020004124561765313
68.0,0.016910703237780985
67.0,0.016704475149515365
69.0,0.016498247061249742
45.0,0.014229738090327902
46.0,0.014229738090327902
70.0,0.01402351000206228
71.0,0.013817281913796659
44.0,0.010723860589812333
74.0,0.010517632501546711
72.0,0.01031140441328109
73.0,0.01031140441328109
75.0,0.009898948236749845
43.0,0.009692720148484223
79.0,0.008867807795421737
41.0,0.00804289544235925
42.0,0.006599298824499897
40.0,0.006186842647968653
76.0,0.005155702206640545
80.0,0.004949474118374922
38.0,0.004537017941843679
39.0,0.004330789853578057
82.0,0.004330789853578057
78.0,0.004330789853578057
86.0,0.0028871932357187047
81.0,0.0028871932357187047
84.0,0.002474737059187461
37.0,0.002474737059187461
83.0,0.0020622808826562177
85.0,0.0020622808826562177
36.0,0.0012373685295937306
89.0,0.0008249123530624871
77.0,0.0008249123530624871
87.0,0.0008249123530624871
88.0,0.0008249123530624871
93.0,0.0008249123530624871
90.0,0.0006186842647968653
95.0,0.0006186842647968653
91.0,0.0006186842647968653
34.0,0.00041245617653124357
100.0,0.00041245617653124357
92.0,0.00041245617653124357
32.0,0.00041245617653124357
35.0,0.00041245617653124357
33.0,0.00041245617653124357
99.0,0.00020622808826562179
101.0,0.00020622808826562179
97.0,0.00020622808826562179
94.0,0.00020622808826562179
