,feels_like
55,0.058981233243967826
57,0.058568777067436587
56,0.05382553103732728
58,0.051763250154671064
54,0.05093833780160858
59,0.05073210971334296
60,0.04495772324190555
61,0.04062693338832749
53,0.03918333677046814
62,0.03526500309342132
51,0.034646318828624456
52,0.032171581769437
50,0.030934213239843265
63,0.029903072798515156
64,0.027634563827593318
65,0.023097545885749637
45,0.022891317797484018
66,0.021035265003093422
44,0.01752938750257785
68,0.016910703237780985
67,0.016704475149515365
69,0.016498247061249742
43,0.015260878531656011
47,0.014229738090327902
70,0.01402351000206228
71,0.013817281913796659
46,0.011961229119406063
74,0.010517632501546711
73,0.01031140441328109
72,0.01031140441328109
75,0.009898948236749845
42,0.009898948236749845
41,0.009898948236749845
79,0.008867807795421737
48,0.008249123530624871
40,0.00804289544235925
49,0.00804289544235925
38,0.005155702206640545
76,0.005155702206640545
80,0.004949474118374922
39,0.004949474118374922
37,0.004743246030109301
78,0.004330789853578057
82,0.004330789853578057
81,0.0028871932357187047
86,0.0028871932357187047
84,0.002474737059187461
36,0.0022685089709218397
85,0.0020622808826562177
83,0.0020622808826562177
34,0.0016498247061249743
33,0.0012373685295937306
32,0.0010311404413281089
77,0.0008249123530624871
89,0.0008249123530624871
93,0.0008249123530624871
88,0.0008249123530624871
87,0.0008249123530624871
95,0.0006186842647968653
30,0.0006186842647968653
90,0.0006186842647968653
35,0.0006186842647968653
91,0.0006186842647968653
100,0.00041245617653124357
92,0.00041245617653124357
26,0.00041245617653124357
99,0.00020622808826562179
29,0.00020622808826562179
97,0.00020622808826562179
94,0.00020622808826562179
31,0.00020622808826562179
101,0.00020622808826562179
