,pressure
29.88,0.042482986182718084
29.87,0.03938956485873376
29.9,0.036296143534749435
29.91,0.0340276345638276
29.89,0.03340895029903073
29.92,0.03340895029903073
29.93,0.03134666941637451
29.86,0.029490616621983913
29.96,0.028665704268921427
29.95,0.027222107651062075
29.94,0.026190967209733965
29.97,0.024747370591874613
29.99,0.024541142503608993
29.98,0.02330377397401526
30.01,0.02206640544442153
30.05,0.02186017735615591
30.06,0.021241493091359042
30.0,0.020416580738296556
30.02,0.020210352650030933
30.09,0.019385440296968447
29.83,0.018148071767374718
29.84,0.017735615590843475
30.08,0.01711693132604661
30.04,0.01711693132604661
29.85,0.01711693132604661
30.07,0.016910703237780985
30.1,0.016704475149515365
30.03,0.015879562796452876
30.13,0.015879562796452876
29.82,0.014642194266859147
30.14,0.013611053825531037
29.81,0.013198597648999794
30.11,0.012579913384202928
30.15,0.012579913384202928
30.16,0.012373685295937306
30.12,0.011548772942874819
30.17,0.010517632501546711
29.8,0.009692720148484223
30.18,0.009486492060218602
29.78,0.008867807795421737
29.79,0.007630439265828006
29.77,0.007424211177562384
29.72,0.00701175500103114
29.75,0.006805526912765519
29.76,0.006186842647968653
30.19,0.006186842647968653
29.73,0.005568158383171788
30.21,0.005568158383171788
29.69,0.004743246030109301
29.74,0.004743246030109301
30.2,0.004743246030109301
29.71,0.004330789853578057
29.68,0.0041245617653124355
30.27,0.003918333677046814
29.7,0.003918333677046814
30.28,0.0032996494122499486
30.3,0.0030934213239843266
29.67,0.0030934213239843266
30.25,0.002680965147453083
30.26,0.002474737059187461
29.64,0.002474737059187461
29.66,0.0022685089709218397
30.23,0.0022685089709218397
29.63,0.0022685089709218397
30.22,0.0022685089709218397
30.24,0.0022685089709218397
29.65,0.0020622808826562177
30.41,0.001856052794390596
30.35,0.001856052794390596
30.31,0.0016498247061249743
30.29,0.0016498247061249743
29.32,0.0016498247061249743
30.52,0.0016498247061249743
30.42,0.0016498247061249743
29.61,0.0016498247061249743
30.4,0.0012373685295937306
30.37,0.0012373685295937306
29.31,0.0012373685295937306
29.62,0.0012373685295937306
29.13,0.0010311404413281089
30.36,0.0010311404413281089
29.3,0.0010311404413281089
30.33,0.0010311404413281089
30.38,0.0010311404413281089
30.51,0.0010311404413281089
29.38,0.0010311404413281089
30.49,0.0010311404413281089
29.47,0.0008249123530624871
30.47,0.0008249123530624871
29.56,0.0008249123530624871
29.53,0.0008249123530624871
30.34,0.0008249123530624871
29.43,0.0006186842647968653
29.39,0.0006186842647968653
29.5,0.0006186842647968653
29.57,0.0006186842647968653
30.5,0.0006186842647968653
30.48,0.0006186842647968653
30.39,0.0006186842647968653
30.43,0.00041245617653124357
29.08,0.00041245617653124357
29.33,0.00041245617653124357
29.49,0.00041245617653124357
29.09,0.00041245617653124357
30.53,0.00041245617653124357
29.1,0.00041245617653124357
29.29,0.00041245617653124357
30.32,0.00041245617653124357
29.35,0.00041245617653124357
30.44,0.00041245617653124357
30.46,0.00041245617653124357
29.4,0.00041245617653124357
29.36,0.00041245617653124357
29.21,0.00041245617653124357
29.34,0.00041245617653124357
29.16,0.00020622808826562179
29.12,0.00020622808826562179
29.27,0.00020622808826562179
29.22,0.00020622808826562179
29.26,0.00020622808826562179
29.25,0.00020622808826562179
29.48,0.00020622808826562179
29.58,0.00020622808826562179
29.23,0.00020622808826562179
29.19,0.00020622808826562179
29.45,0.00020622808826562179
29.28,0.00020622808826562179
29.55,0.00020622808826562179
29.44,0.00020622808826562179
29.37,0.00020622808826562179
29.41,0.00020622808826562179
