,wdir
190.0,0.06647947981759837
180.0,0.06166610369869954
170.0,0.05269380172268198
200.0,0.048703766255700054
340.0,0.041990373247762204
330.0,0.0416948150650228
320.0,0.03880256713393008
350.0,0.037810336091876375
30.0,0.03259584529640264
40.0,0.03246917750380003
210.0,0.031075831785171423
50.0,0.03052693801722682
20.0,0.027423577098463096
160.0,0.025502448910656984
60.0,0.02518577942915048
310.0,0.02499577774024658
360.0,0.023940212801891573
10.0,0.02218797500422226
300.0,0.021681303833811855
220.0,0.020034622529978043
290.0,0.01802904914710353
70.0,0.017839047458199628
150.0,0.015157912514777909
230.0,0.014630130045600405
280.0,0.013173450430670496
80.0,0.01262455666272589
140.0,0.01129454484039858
240.0,0.010576760682317176
130.0,0.010513426786015875
270.0,0.010450092889714576
90.0,0.010428981590947475
110.0,0.00962675223779767
120.0,0.009373416652592467
100.0,0.009310082756291168
260.0,0.009204526262455666
250.0,0.008972301976017564
