FID,osm_id,code,fclass,name,lon,lat
72,243748894,2205,playground, ,-118.4580321,33.979773
73,243802101,2205,playground, ,-118.4032819,34.0124232
74,243803564,2205,playground, ,-118.3995655,33.9926992
75,243804463,2205,playground, ,-118.3857982,33.9837606
76,243805625,2007,library,Westchester Public Library,-118.4171167,33.9594189
77,243956119,2205,playground, ,-118.4739873,33.985877
78,247141462,2721,attraction,Downtown Disney Monorail Station,-117.9245282,33.8094021
79,250780545,2901,toilet, ,-117.1452453,33.0865117
80,254530237,2701,tourist_info, ,-115.8097543,33.7365272
81,254532521,2901,toilet, ,-116.406509,33.2581663
82,256184338,2901,toilet, ,-118.7143667,34.0984445
83,256184342,2901,toilet, ,-118.7134826,34.0991695
84,256184343,2901,toilet, ,-118.7125127,34.0987572
85,256184344,2901,toilet, ,-118.7166814,34.0964422
86,256884236,2305,bar,The Abbey,-118.3851445,34.0833871
87,257170546,2901,toilet, ,-118.7038204,34.0339136
88,257511653,2004,post_box, ,-118.141883,33.792052
89,257873803,2901,toilet, ,-117.1379424,33.0791271
90,258958793,2205,playground, ,-118.7709388,34.1848793
91,258958802,2205,playground, ,-118.7710074,34.1845669
92,258958804,2901,toilet, ,-118.770604,34.1852911
93,258959667,2205,playground, ,-118.8810009,34.1925188
94,259901778,2301,restaurant,Pho Dakao,-117.9457278,33.7373487
95,259902665,2501,supermarket,Albertson's,-117.9562908,33.7291978
96,259915965,2501,supermarket,Saigon City Marketplace,-117.9561985,33.7382341
97,259916222,2101,pharmacy,CVS Pharmacy,-117.9560278,33.7388108
98,267988188,2005,post_office, ,-118.39673,34.0205208
99,267988248,2601,bank, ,-118.3989444,34.0213176
100,268376953,2001,police,City Of San Gabriel Police Department,-118.0999008,34.0947553
101,270042537,2501,supermarket,99 Ranch Market,-118.100828,34.0776395
102,273539682,2501,supermarket,Bristol Farms,-117.2150963,32.8675067
103,273593057,2501,supermarket,Ralph's,-117.2320632,32.8665227
104,273593515,2501,supermarket,Trader Joe's,-117.2324066,32.865636
105,273593654,2302,fast_food,Chipotle,-117.2321777,32.8657668
106,273604598,2601,bank, ,-117.2233539,32.8618668
107,273607070,2301,restaurant,Leucadia,-117.2246938,32.8623226
108,273607369,2301,restaurant,Subarashi,-117.2246904,32.8620457
109,274187845,2304,pub,Rock Bottom Brewery,-117.2342182,32.8711534
110,274189077,2523,stationery,Staples,-117.2312656,32.8646443
111,274191517,2501,supermarket,Sprouts Farmers Market,-117.2144772,32.8516297
112,274192609,2004,post_box, ,-117.1905561,32.8267285
113,274192796,2004,post_box, ,-117.1847797,32.820879
114,274193121,2501,supermarket,Sprouts Farmers Market,-117.1837,32.8242768
115,274193511,2301,restaurant,Thai Time III,-117.1837793,32.8213897
116,274357016,2004,post_box, ,-117.218528,32.8694131
117,274358074,2303,cafe,Tapioca Express,-117.2247153,32.8627747
118,274361347,2101,pharmacy,Rite Aid,-117.2024822,32.8539243
119,274362142,2302,fast_food,Carl's Jr. / The Green Burrito,-117.2004664,32.8538449
120,274363369,2301,restaurant,Sipz Fusion Cafe,-117.1738615,32.8336437
121,274826863,2901,toilet, ,-118.0868181,34.0897044
122,274828246,2013,nursing_home,California Mission Inn,-118.0859512,34.0898679
123,276538024,2561,hairdresser,Ariba Street Salon,-117.2246462,32.8627613
124,276539106,2519,optician, ,-117.224569,32.8627397
125,276539525,2302,fast_food,Los Primos Mexican Food,-117.2243029,32.8626604
126,276540072,2301,restaurant,Shanghai Cafe,-117.2244316,32.8626893
127,276540129,2303,cafe,The Daily Bagel,-117.2244745,32.8627253
128,276540274,2568,laundry,Colony Cleaners,-117.2241999,32.862646
129,276540617,2529,beauty_shop,Nails 2000+,-117.2241141,32.8625811
130,276540738,2005,post_office, ,-117.2240797,32.8625162
131,276540980,2121,dentist, ,-117.2246172,32.8625247
132,276540987,2129,veterinary, ,-117.224636,32.8624751
133,276541019,2561,hairdresser,Fantastic Sam's,-117.2246119,32.8620188
134,276595352,2501,supermarket,Ralphs,-118.4076922,34.0172999
135,276597746,2301,restaurant,Yokohama Sushi,-118.4066108,34.0169087
136,276600064,2501,supermarket,Trader Joe's,-118.4220689,34.0203234
137,276606426,2501,supermarket,Trader Joe's,-118.39265,34.0254942
138,277839704,2563,car_rental,Enterprise,-117.2318895,32.8709231
139,277839880,2601,bank,Bank of America,-117.2316694,32.8682983
140,277839901,2601,bank,Citibank,-117.232093,32.8681983
141,277840055,2303,cafe,Pete's Coffee and Tea,-117.2310331,32.8694062
142,277840140,2301,restaurant,Elijah's,-117.2324968,32.8693375
143,277842932,2565,car_sharing, ,-117.23354,32.8767389
144,278284814,2901,toilet, ,-115.7018893,35.4356204
145,278284815,2901,toilet, ,-115.6992681,35.4337886
146,281860416,2082,school,Topanga Elementary School,-118.6047004,34.0922473
147,286316702,2301,restaurant,Cafe Chloe,-117.1563121,32.7127302
148,288561875,2511,convenience,Chevron,-117.1808061,34.0623716
149,290039547,2302,fast_food,Baja Bud's,-118.6028181,34.1804613
150,290039548,2302,fast_food,Teriyaki Grill,-118.60292,34.1806122
151,290039560,2301,restaurant,Maggiano's Little Italy,-118.6037632,34.181585
152,290588606,2252,pitch, ,-117.1980877,32.8312768
153,290896606,2004,post_box, ,-118.3132893,33.8593949
154,296568728,2901,toilet, ,-118.5133825,34.1279888
155,296569162,2741,picnic_site, ,-118.5136709,34.1278589
156,296665975,2205,playground,Shane's Inspiration,-118.2845697,34.1351063
157,296675492,2742,viewpoint,Inspiration Point,-118.5136868,34.0597604
158,296675954,2742,viewpoint, ,-118.5130693,34.1284099
159,297096543,2901,toilet, ,-118.3656667,33.9899599
160,297702853,2004,post_box, ,-119.1721109,34.1786933
161,297731959,2004,post_box, ,-118.1344999,33.8523432
162,297744290,2002,fire_station,Los Angeles County Fire Department Station #23,-118.130163,33.881828
163,297819169,2303,cafe,Cafe 222,-117.1626707,32.7105552
164,298257651,2002,fire_station,Los Angeles County Fire Department Station #31,-118.1680733,33.8966993
165,298293424,2002,fire_station,LB Fire Station #5,-118.0870915,33.8188965
166,298293943,2002,fire_station,L B Fire Station #17,-118.1364392,33.7979198
167,298297119,2002,fire_station,Long Beach Fire Department Station #11,-118.1923407,33.8540703
168,298305230,2002,fire_station,Long Beach Fire Department Station #6,-118.1901346,33.7499818
169,298305489,2002,fire_station,Terminal Island Fire Station,-118.2417558,33.758721
170,298472149,2002,fire_station,Long Beach Fire Station #3,-118.1990534,33.7817673
171,298474987,2002,fire_station,Long Beach Fire Station #4,-118.1505028,33.7719399
172,298480095,2002,fire_station,Long Beach Fire Station #7,-118.188513,33.7987004
173,298533974,2002,fire_station,Long Beach Fire Station #12,-118.1754415,33.873002
174,298535537,2002,fire_station,Long Beach Fire Station #13,-118.2146259,33.8021663
175,298537270,2002,fire_station,Long Beach Fire Station #14,-118.1320212,33.7695534
176,298539823,2002,fire_station,Long Beach Fire Station #15,-118.2152043,33.7473175
177,298548375,2724,memorial,LA County Sheriffs Memorial,-118.1335405,33.8513286
178,298559156,2904,fountain, ,-118.0868288,33.8302348
179,299098640,2904,fountain, ,-118.1960492,33.7630178
180,299098722,2904,fountain, ,-118.1962521,33.7624915
181,299492835,2904,fountain, ,-118.1669106,33.7668498
182,299521259,2901,toilet, ,-118.0839788,33.8232032
183,299539396,2901,toilet, ,-118.0886399,33.8206784
184,299539590,2901,toilet, ,-118.0826489,33.8197229
185,299539805,2901,toilet, ,-118.0843741,33.8168206
186,299539891,2901,toilet, ,-118.083387,33.8142107
187,299540114,2901,toilet, ,-118.0853526,33.8122567
188,299540482,2901,toilet, ,-118.0869576,33.8112298
189,299541359,2901,toilet, ,-118.0870778,33.8149309
190,299543265,2901,toilet, ,-118.0859564,33.8049133
191,300082247,2901,toilet, ,-118.165269,33.7996606
192,300428080,2001,police,Ventura County Sheriffs East Valley Station,-118.83466,34.2476661
193,300465112,2205,playground, ,-118.4500726,33.9598678
194,300465790,2741,picnic_site, ,-118.4511455,33.9595972
195,300948722,2004,post_box, ,-118.1017298,33.7411698
196,300950429,2722,museum,Red Car Museum,-118.1044335,33.7432181
197,300951010,2007,library,Mary Wilson Branch Orange County Public Library,-118.1048798,33.743682
198,301296561,2008,town_hall,Seal Beach City Hall,-118.1055973,33.7423856
199,301392061,2001,police,Seal Beach Police Department,-118.0877407,33.7527211
200,301462760,2005,post_office,Oak View Post Office,-119.3009369,34.3926333
201,301783791,2950,tower, ,-119.0619278,34.112342
202,302185356,2904,fountain, ,-118.1893803,33.7663094
203,302971768,2504,mall,Lakewood Center Mall,-118.140405,33.8505136
204,302972281,2601,bank,Bank of the West,-118.1333889,33.8532903
205,302985237,2601,bank,Bank of America,-118.1255348,33.8735103
206,303115101,2701,tourist_info,Joshua Tree National Park Oasis Visitor Center,-116.0374927,34.1285261
207,303116705,2422,camp_site,Black Rock Canyon Campground,-116.3902911,34.0736424
208,304679029,2601,bank, ,-118.1257305,34.0941321
209,304915142,2007,library,Orange County Library - Aliso Viejo Branch,-117.7267912,33.570077
210,304915165,2008,town_hall,Aliso Viejo City Hall,-117.7276955,33.5679717
211,304915202,2001,police,Orange County Sheriff's Department Aliso Viejo Station,-117.7286139,33.5675211
212,305958685,2950,tower,KSFE,-114.6234532,34.8529694
213,308716330,2742,viewpoint, ,-119.0567952,34.0952932
214,308717071,2901,toilet, ,-119.037171,34.0867629
215,309516601,2901,toilet, ,-118.7483074,34.0378266
216,309516752,2741,picnic_site, ,-118.7472174,34.0376132
217,311580454,2301,restaurant,Applebee's Neighborhood Grill & Bar,-118.1384332,33.848193
218,311585827,2302,fast_food,Round Table Pizza,-118.1362187,33.8529261
219,311585836,2301,restaurant, ,-118.1346949,33.8532428
220,311585931,2302,fast_food,Carl's Jr.,-118.1340472,33.8533538
221,311586015,2301,restaurant,Fuddrucker's,-118.1341674,33.8524699
222,311587976,2301,restaurant,Mimi's Cafe,-118.1409823,33.8534678
223,311587997,2301,restaurant,El Torito,-118.1418578,33.8532397
224,311589516,2301,restaurant,Marie Callendar's,-118.1405402,33.8542372
225,311589729,2301,restaurant,Red Lobster,-118.1411997,33.8542302
226,311589763,2302,fast_food,Chipotle,-118.1419179,33.8541521
227,311605910,2522,sports_shop,Big 5 Sporting Goods,-118.1431624,33.8532754
228,314077857,2205,playground, ,-118.4122954,33.9219545
229,314077867,2205,playground, ,-118.412613,33.9217053
230,315014970,2101,pharmacy, ,-117.9358113,33.715459
231,315147349,2901,toilet, ,-118.5578522,34.0444964
232,315344323,2252,pitch, ,-117.1228572,32.9312761
233,316541540,2030,recycling, ,-117.155173,32.7494658
234,316542113,2501,supermarket,Ralphs,-117.154615,32.7495753
235,316542113,2101,pharmacy,Ralphs,-117.154615,32.7495753
236,316543226,2004,post_box, ,-117.14738,32.744279
237,316549942,2501,supermarket,Sprouts Farmers Market,-117.145895,32.753307
238,316550481,2004,post_box, ,-117.1502964,32.7496627
239,316550921,2005,post_office,Hillcrest San Diego Post Office,-117.1507084,32.7494173
240,317481691,2501,supermarket,Basha's,-114.5949591,34.8253634
241,317481692,2302,fast_food,Roberto's Taco Shop,-114.595873,34.8256099
242,319641053,2302,fast_food,In-N-Out Burger,-118.0729946,34.0839289
243,319641071,2302,fast_food,Jack in the Box,-118.072963,34.0831219
244,319641072,2302,fast_food,The Hat,-118.0737523,34.099243
245,319781294,2303,cafe,Starbucks Coffee,-118.074087,34.1037593
246,319781337,2302,fast_food,Yoshinoya,-118.0753746,34.1037708
247,319781486,2302,fast_food,Ono Hawaiian BBQ,-118.073933,34.1048368
248,319781742,2302,fast_food,Togo,-118.0741043,34.1039485
249,319781810,2302,fast_food,Baskin-Robbins,-118.0741043,34.1038703
250,319781886,2302,fast_food,Pepe's,-118.0739756,34.1059242
251,319781987,2302,fast_food,Little Caeser's,-118.0734606,34.1132012
252,319781992,2302,fast_food,Rose Donuts,-118.0732117,34.11345
253,319782048,2302,fast_food,H. Salt,-118.0726538,34.1142672
254,319782358,2302,fast_food,Taco Bell,-118.0736237,34.1406551
255,319782438,2302,fast_food,El Pollo Loco,-118.07304,34.1417491
256,319782498,2302,fast_food,Del Taco,-118.0729285,34.1422535
257,319782536,2302,fast_food,Mamma's Brick Oven Pizza & Pasta,-118.073555,34.1410813
258,319782553,2302,fast_food,Jack-in-the-Box,-118.0731173,34.1469134
259,319782575,2302,fast_food,Top's,-118.0693322,34.1468566
260,320217137,2303,cafe,Roadhouse,-118.0753829,34.1039115
261,320217160,2302,fast_food,Orange Chicken,-118.0747649,34.1015662
262,320217380,2301,restaurant,Home Town Buffet,-118.0747716,34.0997264
263,320388014,2032,recycling_paper, ,-117.1339543,32.7536484
264,320609859,2302,fast_food,El Pollo Loco,-118.0525475,34.1075086
265,320610117,2302,fast_food,McDonald's,-118.0554571,34.1077147
266,320610363,2302,fast_food,Carl's Jr.,-118.0563841,34.1074873
267,320632941,2302,fast_food,El Pollo Loco,-118.1108841,34.1027483
268,320633103,2302,fast_food,Jack-in-the-Box,-118.1122771,34.1021926
269,320633253,2302,fast_food,McDonald's,-118.1177359,34.0997975
270,320635840,2303,cafe,Starbucks,-118.0911026,34.1276536
271,322731312,2901,toilet, ,-118.4104609,33.8817968
272,322733186,2901,toilet, ,-118.4121946,33.8846327
273,324739412,2725,artwork,READ/WRITE/THINK/DREAM,-117.2375698,32.8808496
274,325296539,2511,convenience,Chevron,-116.0760244,35.2643602
275,330362382,2101,pharmacy,Walgreens,-118.07413,34.1141105
276,330362558,2101,pharmacy,CVS,-118.074988,34.10075
277,330362638,2511,convenience, ,-118.073949,34.1030456
278,330362819,2601,bank,Chase,-118.0745417,34.1038558
279,330363353,2301,restaurant,Kaya Japanese Seafood,-118.0744044,34.1054762
280,330363785,2301,restaurant,Petrillo's,-118.0709798,34.104467
281,330364574,2302,fast_food,Jamba Juice,-118.0756562,34.1508873
282,330364770,2601,bank, ,-118.0738723,34.1505357
283,330365429,2303,cafe,Starbucks Coffee,-118.0800693,34.1502657
284,331119502,2301,restaurant,Bella Italia,-118.0728527,34.1285902
285,331119529,2302,fast_food,El Taco,-118.0727926,34.1279152
286,331119530,2301,restaurant,Clearman's Galley,-118.0733762,34.1281923
287,331299119,2301,restaurant, ,-117.8455678,33.6716654
288,332436996,2501,supermarket,Gerrard's Market,-117.1840753,34.0426024
289,332437005,2530,video_shop, ,-117.1978689,34.0491334
290,333799466,2901,toilet, ,-118.8794772,34.058506
291,333799732,2741,picnic_site, ,-118.87962,34.0575289
292,333962619,2501,supermarket,Albertsons,-117.3669681,33.6861244
293,339046430,2501,supermarket,168 market,-118.1099551,34.080386
294,339047662,2501,supermarket,168 Market,-118.0873216,34.1045388
295,339167460,2511,convenience,7-Eleven,-117.1694815,32.7221378
296,339167501,2602,atm,Wells-Fargo,-117.1685058,32.7228844
297,339168755,2301,restaurant,Po Pazzo,-117.1685031,32.7247806
298,339579197,2402,motel,Inn at Laguna Beach,-117.787285,33.5432159
299,339587586,2742,viewpoint, ,-117.7066324,33.4637697
300,339809577,2205,playground, ,-118.4311835,34.0737785
301,339811010,2901,toilet, ,-118.4294668,34.0728969
302,340904636,2402,motel,6,-119.4019637,35.4037231
303,341443274,2301,restaurant,Subway Sandwiches,-117.1723196,32.7297809
304,343192253,2518,beverages,Arroyo Liquor,-118.0924814,34.0425682
305,344254819,2742,viewpoint,Narrows,-118.1527042,34.3084442
306,344263947,2742,viewpoint,Delta Flat Vista,-118.2639116,34.3031875
307,344273583,2741,picnic_site,Stony Vale Picnic,-118.223578,34.2849815
308,344274106,2741,picnic_site,Vogel Flat Picnic,-118.2269882,34.2879592
309,344275711,2741,picnic_site,Wildwood Picnic,-118.2406755,34.2942853
310,344327189,2007,library,Sunland-Tujunga Library,-118.3013483,34.2582533
311,344368909,2742,viewpoint, ,-118.2205669,34.28476
312,344369341,2742,viewpoint,Dam Overlook,-118.180381,34.2942837
313,344369765,2741,picnic_site,Hidden Springs,-118.1365473,34.3154688
314,344369815,2301,restaurant,Hidden Springs Cafe,-118.1319811,34.3180846
315,344369816,2006,telephone, ,-118.1318867,34.3181201
316,344369828,2002,fire_station,Monte Cristo,-118.1231526,34.3281726
317,344433409,2002,fire_station,Clear Creek,-118.1541901,34.2706896
318,344435437,2742,viewpoint, ,-118.1828027,34.228648
319,344435597,2002,fire_station,Angeles Crest Station,-118.1839264,34.234354
320,344664282,2901,toilet, ,-118.2733552,34.4367431
321,344723703,2301,restaurant,Baja Fresh,-118.3164955,34.1855717
322,344723888,2301,restaurant,Jersey Mikes,-118.3163295,34.1856243
323,344727062,2501,supermarket,Sprouts,-118.3186927,34.1869917
324,344727689,2302,fast_food,Taco Bell,-118.3191305,34.1882058
325,344727935,2302,fast_food,Pizza Hut,-118.3197656,34.1894766
326,344743063,2002,fire_station,Chilao,-118.0244852,34.3333579
327,344804293,2742,viewpoint,clear creek vista,-118.1681342,34.2698997
328,344804552,2082,school,Clear Creek Outdoor Education Center,-118.1713161,34.2775567
329,344804753,2701,tourist_info, ,-118.1531224,34.2701479
330,344804780,2903,drinking_water, ,-118.1532425,34.2701266
331,344980631,2002,fire_station,Big Tujunga Station,-118.2261747,34.2868356
332,345037376,2901,toilet, ,-118.2415709,34.2950716
333,345044278,2901,toilet, ,-118.2273573,34.2876897
334,345044917,2901,toilet, ,-118.2238056,34.2852093
335,345260016,2402,motel,Dana Point Harbor Inn,-117.688786,33.4649032
336,346191983,2901,toilet, ,-118.3352565,34.3190598
337,346219254,2901,toilet, ,-117.7106919,34.372376
338,346300785,2304,pub, ,-118.3028134,34.2594656
339,346301139,2008,town_hall,Sunland-Tujunga Municipal Building,-118.3009365,34.2578222
340,346347031,2422,camp_site,Tom Lucas Trailcamp,-118.2425879,34.3308542
341,346365667,2422,camp_site,Switzers Trail Camp,-118.1543177,34.2591532
342,346865487,2901,toilet, ,-118.0803661,34.3895503
343,346915711,2422,camp_site,Pacifico Mountain Camp,-118.0340435,34.3827741
344,346939142,2901,toilet, ,-118.0342582,34.3826878
345,347009908,2301,restaurant,kingsburg kitchen,-118.1105299,34.1027313
346,347054514,2501,supermarket,Mitsuwa Marketplace,-118.1068215,34.1027317
347,347079597,2741,picnic_site,Northfork,-118.2523742,34.3875283
348,347080002,2901,toilet, ,-118.252194,34.3873512
349,347080269,2002,fire_station,Noth Fork Station,-118.252681,34.3883357
350,347123651,2301,restaurant,Mission 261,-118.1097823,34.0989499
351,347292565,2901,toilet, ,-117.9627112,34.3493126
352,347348160,2301,restaurant,Newcomb's Ranch,-118.0019804,34.3298594
353,347350041,2422,camp_site,Devils Cyn,-117.9838817,34.3099594
354,347355397,2543,doityourself,Ace Hardware,-118.1069403,33.8114909
355,347395093,2422,camp_site,Sulphr Springs,-117.9878219,34.3674207
356,347418029,2422,camp_site, ,-116.7088027,34.1285883
357,347557903,2732,ruins,Sylias Hoyt Homestead,-118.2137205,34.2773513
358,347568193,2903,drinking_water, ,-118.1840466,34.2340361
359,347714113,2302,fast_food,Popeyes Chicken,-118.0915041,34.0803412
360,347717171,2301,restaurant,Petrillos Pizza,-118.0890922,34.0804762
361,347717938,2301,restaurant,Hakata Ramen,-118.0845175,34.0796729
362,347726451,2301,restaurant,Hong Yei,-118.0907631,34.0993168
363,347793723,2422,camp_site,South Fork,-117.8205673,34.3955589
364,347794183,2901,toilet, ,-117.8204986,34.3951835
365,347794329,2901,toilet, ,-117.8209621,34.3943761
366,348032613,2422,camp_site,Little Jimmy,-117.8313481,34.3476309
367,348034796,2901,toilet, ,-117.8427627,34.2873745
368,348158961,2007,library,Fillmore Branch Ventura County Library,-118.9148868,34.4046375
369,348163712,2082,school,Fillmore High School,-118.9154388,34.4033634
370,348183372,2101,pharmacy,Rite Aid,-118.9151845,34.395327
371,348183379,2568,laundry, ,-118.9168067,34.3951571
372,348183397,2505,department_store, ,-118.9156308,34.3953058
373,348183511,2501,supermarket,Super A Foods,-118.918784,34.3969347
374,348243569,2422,camp_site,Bandido Group Campground,-118.0041506,34.3443341
375,348244251,2422,camp_site,Horse Flats,-118.0100129,34.3428458
376,348246968,2422,camp_site,Sycamore Flat,-117.825007,34.413463
377,348247522,2010,prison,Fenner Camp,-117.7742382,34.3902345
378,348247659,2422,camp_site,Big Rock,-117.7763839,34.3877555
379,348266773,2903,drinking_water, ,-117.7222619,34.3762723
380,348268096,2422,camp_site,Guffy,-117.6550886,34.3409646
381,348268659,2422,camp_site,Blue Ridge Camp,-117.6876184,34.3597785
382,348269373,2422,camp_site,Table Mtn,-117.6904508,34.3870175
383,348270622,2422,camp_site,Lupine,-117.6683497,34.3284254
384,348318838,2301,restaurant,Rock n' Fish,-118.4111276,33.8844407
385,348342385,2422,camp_site,Valley Forge,-118.0738943,34.2531598
386,348364419,2901,toilet, ,-118.104928,34.2580243
387,348409707,2422,camp_site,Buckhorn,-117.9147266,34.3459991
388,348842196,2422,camp_site,West Fork,-118.0495259,34.2463967
389,348842710,2422,camp_site,Devore,-118.035783,34.2428351
390,349338599,2301,restaurant,Big Wang's,-118.3289013,34.0996138
391,349338821,2301,restaurant,Cafe Etc.,-118.3293304,34.0998981
392,349339405,2301,restaurant,Baja Fresh,-118.3275366,34.0981853
393,349340479,2302,fast_food,Chipotle,-118.3767739,34.0744214
394,349382273,2301,restaurant,Luscious Dumplings 潤豐元餃子,-118.1098935,34.1020732
395,350562126,2422,camp_site,Lower Bear Cyn,-117.8826702,34.2533368
396,350742224,2301,restaurant,Jerry's Famous Deli,-118.3806155,34.0770679
397,350766338,2301,restaurant,Bossa Nova,-118.3858713,34.0832711
398,351416649,2082,school,Stough Cyn Nature Center,-118.3069037,34.2138953
399,351475422,2741,picnic_site, ,-118.1054855,34.2583288
400,351493860,2422,camp_site,Gould Mesa,-118.1785221,34.222288
401,351523228,2422,camp_site,Cooper Cyn,-117.921121,34.3606882
402,351523615,2901,toilet, ,-117.9213098,34.3611417
403,351560935,2422,camp_site,Deer Spring,-117.8386545,34.3332739
404,351566474,2082,school,Camp Hi-Hill,-118.0952727,34.2547197
405,351590178,2903,drinking_water, ,-118.0804567,34.3894858
406,351595984,2422,camp_site,Big Buck,-118.1410021,34.3862095
407,351596866,2422,camp_site,Messenger Flat,-118.1892042,34.380065
408,351673651,2901,toilet, ,-118.1131749,34.3091429
