valid_time_gmt,dewPt
2014-01-06 22:52:00,-12.0
2014-01-06 23:52:00,-11.0
2014-01-07 00:52:00,-14.0
2014-01-07 01:52:00,-14.0
2014-01-07 02:52:00,-14.0
2014-01-07 03:52:00,-14.0
2014-01-07 04:52:00,-12.0
2014-01-07 05:52:00,-14.0
2014-01-07 06:52:00,-14.0
2014-01-07 07:52:00,-14.0
2014-01-07 08:52:00,-13.0
2014-01-07 09:52:00,-12.0
2014-01-07 10:52:00,-11.0
2014-01-07 11:52:00,-11.0
2014-01-07 12:52:00,-10.0
2014-01-07 14:52:00,-10.0
2014-02-28 14:52:00,-10.0
2014-02-28 15:52:00,-11.0
2014-02-28 17:52:00,-10.0
2015-01-07 20:52:00,-10.0
2015-02-15 03:52:00,-10.0
2015-02-15 06:52:00,-11.0
2015-02-15 07:52:00,-11.0
2015-02-15 08:52:00,-10.0
2015-02-15 09:52:00,-10.0
2015-02-15 23:52:00,-10.0
2015-02-16 00:52:00,-10.0
2015-02-16 01:52:00,-11.0
2015-02-16 02:52:00,-10.0
2015-02-16 03:52:00,-11.0
2015-02-16 04:52:00,-11.0
2015-02-16 05:52:00,-11.0
2015-02-16 06:52:00,-11.0
2015-02-16 07:52:00,-11.0
2015-02-19 23:52:00,-11.0
2015-02-20 00:52:00,-11.0
2015-02-20 01:52:00,-13.0
2015-02-20 02:52:00,-15.0
2015-02-20 03:52:00,-14.0
2015-02-20 04:52:00,-13.0
2015-02-20 05:52:00,-13.0
2015-02-20 06:52:00,-13.0
2015-02-20 07:52:00,-12.0
2015-02-20 08:52:00,-11.0
2015-02-20 09:52:00,-11.0
2015-02-20 10:52:00,-10.0
2015-02-20 12:52:00,-10.0
2015-02-20 16:52:00,-11.0
2015-02-20 17:52:00,-10.0
