,uv_index
0.0,0.6041321387182395
1.0,0.10410513942022123
2.0,0.04765999160944892
3.0,0.02957876941353371
4.0,0.021591130938287913
5.0,0.01787353528808251
6.0,0.013183964909220053
7.0,0.008278400146211583
8.0,0.006446601619127134
9.0,0.0059772292074252225
-3.0,0.005910769396918757
10.0,0.004739415236742307
-4.0,0.004353117588173477
11.0,0.0036345208870723206
-2.0,0.003430987717396271
-5.0,0.0027414671833916934
-1.0,0.002064407863857078
-6.0,0.0016116504047817835
-7.0,0.0016033429284684753
-8.0,0.0015534980705886263
-9.0,0.0013458111627559222
-11.0,0.0012004303272730294
-12.0,0.0011755078983331048
-13.0,0.001079971920730061
-17.0,0.001075818182573407
-10.0,0.001075818182573407
12.0,0.0010342808010068661
-22.0,0.0010176658483802498
-16.0,0.0009678209905004009
-23.0,0.0009512060378737845
-14.0,0.0009345910852471682
-15.0,0.0009304373470905141
-19.0,0.0009096686563072437
-25.0,0.0009055149181505896
-24.0,0.0008805924892106652
-28.0,0.0008099789405475458
-21.0,0.0008016714642342376
-18.0,0.0007767490352943131
-42.0,0.0007310579155711182
-29.0,0.0007227504392578101
-30.0,0.0007227504392578101
-20.0,0.000718596701101156
-27.0,0.0006936742721612315
-75.0,0.0006895205340045774
-67.0,0.0006853667958479233
-31.0,0.0006812130576912693
-79.0,0.0006770593195346152
-34.0,0.0006770593195346152
-46.0,0.0006729055813779611
-43.0,0.000668751843221307
-78.0,0.0006604443669079988
-76.0,0.0006604443669079988
-37.0,0.0006562906287513447
-47.0,0.0006521368905946907
-36.0,0.0006521368905946907
-81.0,0.0006396756761247285
-26.0,0.0006396756761247285
-44.0,0.0006355219379680744
-50.0,0.0006313681998114203
-32.0,0.0006272144616547662
-56.0,0.0006230607234981122
-33.0,0.0006189069853414581
-72.0,0.0006189069853414581
-45.0,0.000614753247184804
-48.0,0.0006105995090281499
-40.0,0.0006105995090281499
-35.0,0.0006105995090281499
-77.0,0.0006064457708714958
-41.0,0.0005939845564015336
-51.0,0.0005898308182448795
-57.0,0.0005898308182448795
-62.0,0.0005732158656182631
-49.0,0.000569062127461609
-82.0,0.000564908389304955
-39.0,0.0005566009129916468
-52.0,0.0005566009129916468
-38.0,0.0005566009129916468
-80.0,0.0005524471748349928
-53.0,0.0005482934366783387
-71.0,0.0005358322222083765
-85.0,0.0005316784840517224
-73.0,0.0005316784840517224
-84.0,0.0005316784840517224
-54.0,0.0005192172695817601
-103.0,0.0005109097932684519
-59.0,0.0005109097932684519
-55.0,0.0005109097932684519
-65.0,0.0005067560551117979
-64.0,0.0005026023169551438
-63.0,0.0004984485787984897
-69.0,0.0004942948406418356
-68.0,0.0004818336261718734
-60.0,0.0004818336261718734
-83.0,0.0004776798880152193
-74.0,0.0004735261498585652
-66.0,0.00046521867354525705
-70.0,0.00046521867354525705
-87.0,0.0004569111972319489
-110.0,0.0004319887682920244
-58.0,0.0004319887682920244
-61.0,0.0004278350301353703
-98.0,0.0004278350301353703
-123.0,0.00042368129197871624
-93.0,0.00041952755382206215
-94.0,0.00041537381566540807
-105.0,0.00041537381566540807
-112.0,0.0003987588630387918
-92.0,0.0003987588630387918
-101.0,0.0003987588630387918
-89.0,0.0003946051248821377
-99.0,0.0003946051248821377
-96.0,0.0003904513867254836
-115.0,0.00037799017225552135
-102.0,0.00037799017225552135
-106.0,0.00037383643409886726
-118.0,0.0003696826959422132
-108.0,0.0003696826959422132
-97.0,0.0003696826959422132
-88.0,0.0003655289577855591
-120.0,0.0003655289577855591
-95.0,0.00036137521962890506
-109.0,0.00036137521962890506
-91.0,0.0003530677433155969
-156.0,0.0003530677433155969
-136.0,0.0003489140051589428
-100.0,0.0003406065288456346
-90.0,0.0003406065288456346
-117.0,0.0003406065288456346
-125.0,0.00033645279068898054
-142.0,0.00033229905253232645
-86.0,0.00032814531437567237
-104.0,0.0003239915762190183
-138.0,0.0003239915762190183
-107.0,0.0003115303617490561
-131.0,0.0002990691472790938
-121.0,0.0002990691472790938
-122.0,0.00029491540912243973
-116.0,0.00029076167096578565
-151.0,0.0002824541946524775
-111.0,0.0002783004564958234
-148.0,0.0002783004564958234
-177.0,0.00027414671833916936
-139.0,0.00027414671833916936
-129.0,0.00026999298018251527
-114.0,0.00026999298018251527
-113.0,0.0002616855038692071
-128.0,0.0002616855038692071
-144.0,0.0002616855038692071
-133.0,0.0002616855038692071
-132.0,0.000257531765712553
-119.0,0.000257531765712553
-154.0,0.00025337802755589893
-127.0,0.00024922428939924484
-162.0,0.00024507055124259075
-126.0,0.00024507055124259075
-141.0,0.00024507055124259075
-134.0,0.0002409168130859367
-140.0,0.0002367630749292826
-137.0,0.0002367630749292826
-150.0,0.0002367630749292826
-172.0,0.00023260933677262852
-152.0,0.00023260933677262852
-167.0,0.00023260933677262852
