,pressure
30.0,0.020814625497916236
29.95,0.020561350187653978
29.93,0.019801524256867216
29.92,0.019271948608137045
30.01,0.019248923579931385
29.9,0.01906472335428611
29.96,0.018857498100435174
29.91,0.018811448044023855
29.99,0.018788423015818196
29.98,0.018696322902995555
29.97,0.018258847367088025
30.03,0.018120697197854068
30.02,0.017890446915797473
30.11,0.01782137183118049
29.94,0.01742994635168428
30.1,0.017337846238861643
30.09,0.017314821210655983
29.88,0.016716170477308834
30.07,0.016647095392691855
30.05,0.016624070364486196
30.08,0.016531970251663558
30.04,0.01646289516704658
29.86,0.016117519743961688
29.89,0.01588726946190509
30.06,0.015772144320876792
30.12,0.015518869010614538
29.87,0.0154267688977919
29.85,0.015265593700352282
29.84,0.015127443531118326
30.13,0.015127443531118326
29.82,0.014045267205452327
30.14,0.013907117036218369
30.15,0.01388409200801271
29.83,0.013653841725956115
30.16,0.012801915682346711
30.17,0.012295365061822201
29.81,0.011581589187446754
30.18,0.011489489074624116
30.19,0.011005963482305266
29.8,0.01084478828486565
30.2,0.01084478828486565
29.79,0.01082176325665999
30.21,0.01079873822845433
29.78,0.009946812184844927
29.77,0.009854712072022289
29.75,0.009486311620731736
30.23,0.009325136423292118
30.22,0.009302111395086458
29.76,0.009279086366880799
30.26,0.008565310492505354
30.24,0.008542285464299694
29.74,0.008381110266860076
30.27,0.008035734843775184
29.72,0.007483134166839355
29.73,0.007344983997605397
30.25,0.0073219589693997375
30.28,0.007045658630931823
30.29,0.006838433377080887
29.71,0.006562133038612973
30.3,0.006539108010407313
30.31,0.006423982869379015
29.7,0.006055582418088462
29.64,0.0056411319103865905
30.33,0.005272731459096037
30.34,0.005249706430890378
29.68,0.005249706430890378
30.32,0.0051806313462733995
29.69,0.0049734060924224634
29.67,0.004789205866777187
29.63,0.004766180838571527
30.35,0.004674080725748889
29.66,0.004651055697543229
29.65,0.004651055697543229
30.36,0.004535930556514932
29.62,0.004236605189841358
30.39,0.0035228293154659115
30.37,0.003476779259054592
29.61,0.003476779259054592
29.58,0.00308535377955838
30.38,0.0030623287513527205
29.6,0.003039303723147061
29.56,0.003016278694941401
29.59,0.0029241785821187633
29.55,0.0027399783564734867
29.57,0.002670903271856508
30.41,0.0025327531026225506
30.4,0.0025327531026225506
30.45,0.002302502820565955
29.54,0.002302502820565955
30.44,0.002256452764154636
30.43,0.002256452764154636
30.42,0.002210402707743317
29.53,0.002095277566715019
30.48,0.0020031774538923812
30.46,0.0019801524256867213
30.47,0.0018420022564527641
29.52,0.0018189772282471046
29.51,0.0017038520872188069
30.5,0.0017038520872188069
30.52,0.0015887269461905091
30.49,0.0014736018051622114
30.53,0.0014045267205452328
30.51,0.001381501692339573
29.5,0.001289401579516935
29.47,0.001289401579516935
29.48,0.0012663765513112753
30.54,0.0012663765513112753
29.46,0.0012203264948999562
29.44,0.0011052013538716584
29.45,0.0011052013538716584
29.49,0.001082176325665999
30.59,0.0010591512974603395
29.43,0.0010361262692546798
30.56,0.0010131012410490203
30.57,0.0009210011282263821
30.62,0.0009210011282263821
30.6,0.0008058759871980843
29.42,0.0008058759871980843
29.38,0.0008058759871980843
29.41,0.0008058759871980843
29.37,0.0008058759871980843
30.61,0.0007828509589924247
30.58,0.0007828509589924247
30.67,0.0007598259307867653
30.55,0.0007368009025811057
29.36,0.0007137758743754461
29.4,0.0006907508461697865
29.39,0.000667725817964127
29.35,0.0005756257051414888
30.63,0.0005295756487301697
30.66,0.0004835255923188506
30.65,0.00041445050770187194
29.34,0.00041445050770187194
30.64,0.00036840045129055284
29.33,0.00036840045129055284
30.73,0.00034537542308489327
29.29,0.00034537542308489327
29.32,0.00032235039487923375
29.31,0.00032235039487923375
30.7,0.0002993253666735742
29.27,0.0002993253666735742
30.72,0.0002993253666735742
30.68,0.0002763003384679146
29.28,0.00023025028205659551
29.3,0.00023025028205659551
29.23,0.00023025028205659551
29.25,0.00023025028205659551
29.26,0.00023025028205659551
30.78,0.00020722525385093597
30.71,0.00020722525385093597
29.22,0.00020722525385093597
30.69,0.00018420022564527642
29.01,0.00016117519743961688
29.0,0.0001381501692339573
29.21,0.0001381501692339573
30.8,0.0001381501692339573
30.79,0.0001381501692339573
30.74,0.0001381501692339573
30.75,0.00011512514102829776
29.12,0.00011512514102829776
29.02,0.00011512514102829776
29.24,0.00011512514102829776
29.05,0.00011512514102829776
29.18,9.210011282263821e-05
29.09,9.210011282263821e-05
29.2,6.907508461697865e-05
30.76,6.907508461697865e-05
29.03,6.907508461697865e-05
29.17,4.6050056411319105e-05
29.06,4.6050056411319105e-05
29.07,4.6050056411319105e-05
29.11,4.6050056411319105e-05
29.13,4.6050056411319105e-05
29.1,4.6050056411319105e-05
29.14,4.6050056411319105e-05
28.99,4.6050056411319105e-05
29.16,2.3025028205659553e-05
29.15,2.3025028205659553e-05
29.04,2.3025028205659553e-05
30.77,2.3025028205659553e-05
28.97,2.3025028205659553e-05
29.19,2.3025028205659553e-05
29.08,2.3025028205659553e-05
