,min_temp
71.0,0.0018420022564527641
70.0,0.0016578020308074877
73.0,0.0014275517487508922
69.0,0.0014045267205452328
36.0,0.0012663765513112753
75.0,0.0012433515231056159
72.0,0.0011973014666942967
68.0,0.0011742764384886372
57.0,0.0011512514102829776
67.0,0.0011512514102829776
49.0,0.001128226382077318
43.0,0.0011052013538716584
34.0,0.001082176325665999
64.0,0.001082176325665999
41.0,0.0010591512974603395
44.0,0.0010591512974603395
42.0,0.0010591512974603395
51.0,0.0010361262692546798
37.0,0.0010361262692546798
76.0,0.0010131012410490203
62.0,0.0009900762128433607
56.0,0.0009900762128433607
39.0,0.0009900762128433607
54.0,0.0009440261564320416
65.0,0.0009440261564320416
55.0,0.0009440261564320416
60.0,0.0008979761000207225
50.0,0.0008979761000207225
38.0,0.000874951071815063
53.0,0.000874951071815063
25.0,0.000874951071815063
24.0,0.0008519260436094034
31.0,0.0008519260436094034
47.0,0.0008519260436094034
59.0,0.0008289010154037439
66.0,0.0008289010154037439
63.0,0.0008058759871980843
26.0,0.0007828509589924247
35.0,0.0007828509589924247
77.0,0.0007598259307867653
45.0,0.0007598259307867653
58.0,0.0007598259307867653
33.0,0.0007598259307867653
61.0,0.0007598259307867653
28.0,0.0007137758743754461
27.0,0.0007137758743754461
74.0,0.0006907508461697865
52.0,0.0006907508461697865
48.0,0.0006907508461697865
30.0,0.000667725817964127
29.0,0.0006447007897584675
40.0,0.0006216757615528079
22.0,0.0005756257051414888
46.0,0.0005295756487301697
78.0,0.0005065506205245102
19.0,0.0005065506205245102
21.0,0.00046050056411319103
32.0,0.0004374755359075315
18.0,0.00041445050770187194
20.0,0.00036840045129055284
79.0,0.00034537542308489327
23.0,0.00034537542308489327
17.0,0.00032235039487923375
81.0,0.0002763003384679146
9.0,0.0002532753102622551
80.0,0.00023025028205659551
82.0,0.00023025028205659551
15.0,0.00023025028205659551
14.0,0.00023025028205659551
83.0,0.00020722525385093597
13.0,0.00018420022564527642
8.0,0.0001381501692339573
10.0,0.0001381501692339573
16.0,0.0001381501692339573
84.0,0.00011512514102829776
11.0,0.00011512514102829776
12.0,9.210011282263821e-05
87.0,9.210011282263821e-05
85.0,9.210011282263821e-05
86.0,9.210011282263821e-05
4.0,6.907508461697865e-05
88.0,6.907508461697865e-05
89.0,4.6050056411319105e-05
7.0,4.6050056411319105e-05
92.0,4.6050056411319105e-05
5.0,4.6050056411319105e-05
1.0,2.3025028205659553e-05
6.0,2.3025028205659553e-05
3.0,2.3025028205659553e-05
91.0,2.3025028205659553e-05
94.0,2.3025028205659553e-05
