,dewPt
57.0,0.025005180631346272
54.0,0.0247058552646727
55.0,0.02426837972876517
52.0,0.024015104418502912
61.0,0.02113697589279547
50.0,0.02065345030047662
56.0,0.020492275103037
64.0,0.020308074877391724
63.0,0.019870599341484194
59.0,0.019709424144044578
66.0,0.019202873523520066
60.0,0.018281872395293684
70.0,0.017913471944003133
58.0,0.017752296746563513
48.0,0.017706246690152194
30.0,0.017637171605535216
53.0,0.017545071492712578
43.0,0.01745297137988994
51.0,0.01742994635168428
68.0,0.017199696069627686
46.0,0.01708457092859939
65.0,0.01692339573115977
37.0,0.016716170477308834
28.0,0.016117519743961688
34.0,0.016094494715756028
39.0,0.01607146968755037
36.0,0.01593331951831641
45.0,0.015541894038820198
62.0,0.0154267688977919
49.0,0.015357693813174922
69.0,0.015081393474707007
27.0,0.015012318390090028
41.0,0.014551817825976837
67.0,0.014551817825976837
25.0,0.01432156754392024
47.0,0.014137367318274965
33.0,0.014114342290069306
38.0,0.014022242177246668
44.0,0.01381501692339573
35.0,0.013630816697750455
40.0,0.0133775413874882
31.0,0.013009140936197646
32.0,0.012801915682346711
29.0,0.012755865625935392
72.0,0.012709815569524073
71.0,0.012686790541318414
21.0,0.012640740484907095
42.0,0.011466464046418457
26.0,0.011167138679744882
23.0,0.011098063595127904
24.0,0.010959913425893947
22.0,0.010867813313071309
19.0,0.01079873822845433
18.0,0.008956735972001566
20.0,0.008772535746356289
17.0,0.008012709815569525
16.0,0.007252883884782759
73.0,0.00720683382837144
15.0,0.00665423315143561
7.0,0.006539108010407313
10.0,0.006493057953995993
6.0,0.006009532361677143
9.0,0.005871382192443186
12.0,0.005825332136031866
14.0,0.005572056825769611
13.0,0.005572056825769611
5.0,0.005479956712946973
11.0,0.005456931684741314
8.0,0.00515760631806774
4.0,0.00460500564113191
3.0,0.0036609794846998688
2.0,0.0027399783564734867
74.0,0.0026478782436508484
1.0,0.0024406529897999124
0.0,0.0024406529897999124
-2.0,0.002095277566715019
-1.0,0.0020031774538923812
-4.0,0.0014736018051622114
-3.0,0.0014045267205452328
-5.0,0.0011512514102829776
75.0,0.0010361262692546798
77.0,0.0008058759871980843
-7.0,0.0007598259307867653
-9.0,0.0007137758743754461
-6.0,0.0006216757615528079
76.0,0.0005756257051414888
-8.0,0.0005526006769358292
-10.0,0.00046050056411319103
-12.0,0.0002993253666735742
-11.0,0.0002532753102622551
-14.0,0.00018420022564527642
-13.0,0.0001381501692339573
-15.0,9.210011282263821e-05
78.0,4.6050056411319105e-05
-16.0,2.3025028205659553e-05
