,osmid,geometry,fclass,name
0,60471261,POINT (-77.0317125 38.9154461),atm,Cafe Saint Ex
1,291675307,POINT (-77.0463218 38.8992306),university,The George Washington University
2,306011118,POINT (-77.0161077 38.9076915),fire_station,District of Columbia Fire and Emergency Medical Services Engine Company 6
3,306011599,POINT (-77.0496801 38.9055403),fire_station,DC Fire Department Engine Company No. 1
4,306020851,POINT (-77.0109473 38.8958177),fire_station,DC Fire Department Engine Co. 3
5,306031609,POINT (-77.0250333 38.9234165),fire_station,DC Fire Dept. Engine Co. 4
6,306496893,POINT (-76.9867404 38.901548),fire_station,DC Fire Department Engine Co. 10
7,306499334,POINT (-77.0330285 38.9322767),fire_station,DC Fire Department Engine Co. 11
8,306500868,POINT (-77.0193376 38.8836063),fire_station,DC Fire Department Engine No. 13
9,306507109,POINT (-76.9860763 38.8648489),fire_station,DC Fire Department Engine Co. 15
10,306508304,POINT (-77.0298555 38.9033027),fire_station,DC Fire Department Engine Co. 16
11,306511654,POINT (-76.994654 38.883254),fire_station,DC Fire Department Engine Co. 18
12,306512939,POINT (-77.0783533 38.9449442),fire_station,DC Fire Department Engine Co. 20
13,306514470,POINT (-77.0422282 38.9247122),fire_station,DC Fire Department Engine Co. 21
14,306515312,POINT (-77.0283389 38.9600288),fire_station,DC Fire Department Engine Co. 22
15,306516802,POINT (-77.0007438 38.8432177),fire_station,D Fire Department Engine Co. 25
16,307055376,POINT (-77.0593927 38.9363767),fire_station,DC Fire Department Engine Co. 28
17,307072199,POINT (-76.9334296 38.8907105),fire_station,DC Fire Department Engine Co. 30
18,307076753,POINT (-77.0699241 38.9542667),fire_station,DC Fire Department Engine Co. 31
19,307120468,POINT (-77.0051261 38.8308851),fire_station,DC Fire Department Engine Co. 33
20,309514349,POINT (-77.07211 38.9068086),bicycle_parking,
21,309514504,POINT (-77.0745001 38.9078818),bicycle_parking,
22,340147839,POINT (-77.0329341 38.9284669),fast_food,Potbelly's
23,340147854,POINT (-77.033256 38.9285921),fast_food,Five Guys
24,340148262,POINT (-77.0293894 38.916843),cafe,Starbucks
25,356606026,POINT (-77.0111 38.8443),post_office,Bolling Air Force Base Post Office
26,358237577,POINT (-77.0463661 38.9720548),park,Rock Creek Park
27,358255878,POINT (-77.0784559 38.9660907),place_of_worship,Chevy Chase Baptist Church
28,358256028,POINT (-76.977727 38.945411),place_of_worship,Givens Bible Church
29,358256058,POINT (-76.918069 38.89637),place_of_worship,Holy Truth of God in Christ Jesus Church
30,358256156,POINT (-77.0126739 38.9733152),place_of_worship,Takoma Park Seventh Day Adventist Church
31,358256277,POINT (-76.9655041 38.9342396),place_of_worship,Mountain of Fire Miracles Ministries Church
32,358256347,POINT (-76.979309 38.943813),place_of_worship,Rhema Christian Center Church
33,358954671,POINT (-76.9691416 38.8781678),park,Anacostia Park
34,358954680,POINT (-77.00455 38.84156),school,Assumption Elementary School
35,358954684,POINT (-77.0323 38.91794),school,Saint Augustine School
36,358954698,POINT (-76.9705308 38.9395555),park,Barnard Hill Park
37,358954702,POINT (-76.9969203 38.9009451),school,Blair School
38,358954707,POINT (-76.9827534 38.9203892),park,Brentwood Village Playground
39,358954711,POINT (-76.97089 38.90258),school,Browne Junior High School
40,358954716,POINT (-76.9869199 38.8870564),school,Bryan School
41,358954721,POINT (-77.0171986 38.9087227),school,Bundy School
42,358954726,POINT (-77.0435882 38.9223335),school,Columbian School
43,358954730,POINT (-77.0007631 38.8432257),school,Congress Heights School
44,358954740,POINT (-76.961086 38.9215004),park,Dakota Playground
45,358954745,POINT (-77.07521 38.95288),school,Deal Junior High School
46,358954748,POINT (-77.0642582 38.9434733),school,University of The District Of Columbia
47,358954752,POINT (-76.9884873 38.8559917),school,Douglass Jr High (former)
48,358954765,POINT (-76.994013 38.8945691),school,Edmonds School
49,358954768,POINT (-76.97901 38.89265),school,Eliot Junior High School
50,358954774,POINT (-76.9198705 38.8901413),school,Evans Middle School
51,358954787,POINT (-76.949141 38.8684458),park,Fort Davis Park
52,358954811,POINT (-77.0257 38.91765),school,Garnet - Patterson Junior High School
53,358954822,POINT (-77.0249766 38.9165003),school,Grimke School
54,358954825,POINT (-77.0216431 38.8859453),park,Hancock Park
55,358954836,POINT (-76.9971504 38.8375625),school,Hart Middle School
56,358954843,POINT (-76.9992096 38.9027379),school,Hayes School
57,358954867,POINT (-77.0612339 38.9127565),school,Jackson School
58,358954878,POINT (-76.9323253 38.893207),school,Kelly Miller Junior High School
59,358954885,POINT (-77.0058095 38.9148337),school,Langley Junior High School
60,358954890,POINT (-77.002476 38.8984451),school,Logan School
61,358954898,POINT (-76.9905312 38.8951119),school,Lovejoy School
62,358954901,POINT (-76.9921979 38.8984451),school,Madison School
63,358954906,POINT (-77.0374771 38.9848324),school,Marjorie Webster Junior College (historical)
64,358954908,POINT (-77.0319213 38.962055),school,Military Road School
65,358954910,POINT (-77.0402548 38.9184447),school,Morgan School
66,358954913,POINT (-77.018032 38.9123337),school,Morse School
67,358954917,POINT (-76.928585 38.8965009),school,National Trade and Professional School
68,358954923,POINT (-76.98154 38.85781),school,Our Lady of Perpetual Help School
69,358954927,POINT (-76.94778 38.88323),school,Our Lady Queen of Peace School
70,358954933,POINT (-77.0244212 38.9789992),school,Peter Pan School
71,358954937,POINT (-76.9858089 38.8984451),school,Pierce School
72,358954940,POINT (-77.0125 38.96194),school,Rabaut Junior High School (historical)
73,358954953,POINT (-76.9931853 38.9484573),school,Sacred Heart Seminary
74,358954959,POINT (-76.9951631 38.9546829),school,Saint Anthonys High School
75,358954970,POINT (-76.9686286 38.8731491),school,Saint Francis Xavier School
76,358954974,POINT (-77.02081 38.94363),school,Saint Gabriel School
77,358954978,POINT (-76.987198 38.9484442),school,Saint Gertrudes School
78,358954982,POINT (-77.05505 38.96248),school,Saint Johns College High School
79,358955000,POINT (-76.99997 38.82501),school,Saint Thomas More Elementary School
80,358955002,POINT (-76.9969204 38.923167),school,Saint Vincents Home and School
81,358955008,POINT (-77.07037 38.94678),school,Sheridan School
82,358955010,POINT (-77.0588663 38.9453887),park,Soapstone Valley Park
83,358955013,POINT (-76.95315 38.88395),school,Sousa Middle School
84,358955015,POINT (-76.9786085 38.9369141),school,Taft Junior High School
85,358955017,POINT (-77.01183 38.90296),school,Terrell Junior High School
86,358955022,POINT (-76.9984481 38.9312992),school,Theological College
87,358955027,POINT (-76.989698 38.9348334),school,Viatorian Seminary
88,358955030,POINT (-76.9274739 38.897612),park,Watts Branch Parkway
89,358955037,POINT (-76.94583 38.89722),school,C G Woodson Junior High School (historical)
90,358955046,POINT (-77.0362658 38.8995586),bench,Baruch Bench of Inspiration
91,358955053,POINT (-77.0516438 38.8901119),artwork,Arts of Peace Statues
92,358955056,POINT (-77.0252544 38.8998339),school,Webster School
93,358955058,POINT (-76.9991425 38.8923341),school,Hilton School
94,358955061,POINT (-77.0069537 38.8951373),park,American Legion Freedom Bell
95,358955072,POINT (-76.9908089 38.8809454),school,Cranch School (historical)
96,358955079,POINT (-76.9780306 38.8526127),grave_yard,Rosewood Cemetery
97,358955084,POINT (-77.0560884 38.8937229),park,Bryant Memorial
98,358955091,POINT (-77.036088 38.9273334),place_of_worship,National Baptist Memorial Church
