valid_time_gmt,dewPt
2009-07-21 03:07:00,30.0
2009-07-21 03:30:00,30.0
2009-07-21 04:00:00,30.0
2009-07-26 15:00:00,30.0
2009-08-03 14:30:00,30.0
2009-08-03 15:00:00,30.0
2009-08-03 15:30:00,30.0
2009-08-03 16:00:00,30.0
2009-08-07 03:30:00,30.0
2009-08-07 04:00:00,30.0
2009-08-07 15:30:00,27.0
2009-08-07 16:00:00,25.0
2009-08-07 16:30:00,28.0
2009-08-08 07:00:00,30.0
2009-08-08 07:30:00,30.0
2009-08-08 11:30:00,30.0
2009-08-08 12:00:00,28.0
2009-08-08 12:30:00,28.0
2009-08-08 13:00:00,28.0
2009-08-08 13:30:00,28.0
2009-08-08 14:00:00,23.0
2009-08-08 14:30:00,23.0
2009-08-08 15:00:00,25.0
2009-08-08 15:30:00,28.0
2009-08-08 16:00:00,27.0
2009-08-08 16:30:00,28.0
2009-08-08 17:00:00,28.0
2009-08-08 17:30:00,28.0
2009-08-08 18:00:00,30.0
2009-08-17 12:00:00,27.0
2009-08-17 12:30:00,27.0
2009-08-17 13:00:00,25.0
2009-08-17 13:30:00,27.0
2009-08-17 14:00:00,23.0
2009-08-17 14:30:00,27.0
2009-08-17 15:00:00,28.0
2009-08-17 15:30:00,27.0
2009-08-17 16:00:00,28.0
2009-08-17 16:30:00,28.0
2009-08-17 17:00:00,30.0
2009-08-17 17:30:00,28.0
2009-08-17 18:00:00,30.0
2009-08-17 18:30:00,30.0
2009-08-21 14:00:00,25.0
2009-08-21 15:46:00,30.0
2009-08-21 16:00:00,28.0
2009-08-21 16:24:00,27.0
2009-08-21 16:30:00,30.0
2009-08-21 17:00:00,30.0
2009-08-22 04:30:00,30.0
2009-08-22 05:00:00,30.0
2009-08-22 11:23:00,28.0
2009-08-22 11:30:00,28.0
2009-08-22 12:00:00,30.0
2009-08-22 14:00:00,30.0
2009-08-22 14:12:00,28.0
2009-08-22 14:30:00,30.0
2009-08-24 09:54:00,28.0
2009-08-24 10:00:00,30.0
2009-08-24 11:30:00,30.0
2009-08-24 12:00:00,30.0
2009-08-24 12:30:00,30.0
2009-08-24 13:00:00,27.0
2009-08-24 13:30:00,30.0
2009-08-24 14:00:00,28.0
2009-08-24 14:30:00,30.0
2009-08-24 15:00:00,30.0
2009-08-25 21:00:00,30.0
2009-08-25 21:43:00,30.0
2009-08-25 22:00:00,30.0
2009-08-25 22:36:00,30.0
2009-08-25 23:00:00,30.0
2009-08-25 23:30:00,30.0
2009-08-26 00:30:00,30.0
2009-08-26 01:00:00,30.0
2009-08-26 02:30:00,30.0
2009-08-26 03:30:00,30.0
2009-08-26 04:00:00,30.0
2009-08-26 12:43:00,28.0
2009-08-26 12:47:00,30.0
2009-08-26 13:00:00,30.0
2009-08-30 05:30:00,30.0
2009-08-30 06:00:00,30.0
2009-08-30 06:30:00,30.0
2009-08-30 07:00:00,30.0
2009-09-01 09:30:00,30.0
2009-09-01 10:00:00,30.0
2009-09-01 10:30:00,30.0
2009-09-01 11:00:00,28.0
2009-09-01 11:30:00,28.0
2009-09-01 12:00:00,30.0
2009-09-01 12:30:00,28.0
2009-09-01 13:00:00,28.0
2009-09-01 13:30:00,28.0
2009-09-01 14:00:00,30.0
2009-09-01 14:30:00,28.0
2009-09-01 15:00:00,30.0
2009-09-01 16:00:00,27.0
2009-09-01 16:30:00,30.0
2009-09-01 17:00:00,30.0
2009-09-05 15:30:00,30.0
2009-09-12 04:30:00,30.0
2009-09-12 05:00:00,30.0
2009-09-12 05:30:00,30.0
2009-09-12 06:00:00,30.0
2009-09-12 06:30:00,28.0
2009-09-12 07:00:00,28.0
2009-09-12 07:30:00,28.0
2009-09-12 08:00:00,30.0
2009-09-12 08:30:00,30.0
2009-09-12 09:00:00,28.0
2009-09-12 09:30:00,30.0
2009-09-12 10:00:00,28.0
2009-09-12 10:23:00,30.0
2009-09-12 10:30:00,30.0
2009-09-12 11:30:00,30.0
2009-09-12 12:00:00,30.0
2009-09-12 12:30:00,28.0
2009-09-12 13:00:00,30.0
2009-09-12 13:30:00,30.0
2009-09-12 14:00:00,30.0
2009-09-12 14:16:00,30.0
