osmid,geometry,created_by,man_made,name,leisure,amenity,addr:street,addr:housenumber
357617448,POINT (-73.7408333 40.7652778),,,Saint Anastasia Roman Catholic Church,,place_of_worship,,
357617451,POINT (-73.8438889 40.7811111),,,Saint Clement of Ohrid Macedonian Church,,place_of_worship,,
357617454,POINT (-73.8716667 40.7616667),,,Saint Gabriel's Roman Catholic Church,,place_of_worship,,
357617458,POINT (-73.8313889 40.7602778),,,Saint George's Episcopal Church,,place_of_worship,,
357617461,POINT (-73.8138889 40.7608333),,,Saint John's Episcopal Church,,place_of_worship,,
357617463,POINT (-73.8447222 40.78),,,Saint John's Lutheran Church,,place_of_worship,,
357617466,POINT (-73.7775001 40.7683332),,,Saint Josaphat Roman Catholic Church,,place_of_worship,,
357617470,POINT (-73.7872222 40.7552778),,,Saint Kevins Church,,place_of_worship,,
357617473,POINT (-73.8097222 40.7847221),,,Saint Lukes Roman Catholic Church,,place_of_worship,,
357617476,POINT (-73.8136111 40.7536111),,,Saint Mary's Nativity Church,,place_of_worship,,
357617479,POINT (-73.8261111 40.7588889),,,Saint Michael's Church,,place_of_worship,,
357617483,POINT (-73.8102779 40.7877777),,,Saint Nicholas Orthodox Church,,place_of_worship,,
357617486,POINT (-73.8455556 40.786111),,,Saint Paul's Episcopal Church,,place_of_worship,,
357617492,POINT (-73.865 40.7538888),,,Seventh Day Adventist Church,,place_of_worship,,
357617495,POINT (-73.8677778 40.7558333),,,Shaw African Methodist Episcopal Zion Church,,place_of_worship,,
357617499,POINT (-73.7947222 40.7580556),,,Temple Beth Sholom,,place_of_worship,,
357617502,POINT (-73.8227778 40.7622222),,,Temple Gates of Prayer,,place_of_worship,,
357617504,POINT (-73.815 40.7591667),,,Unitarian Universalist Church,,place_of_worship,,
357617507,POINT (-73.8622223 40.7569443),,,Young Nak Presbyterian Church,,place_of_worship,,
357617511,POINT (-73.7436112 40.7663888),,,Zion Episcopal Church,,place_of_worship,,
357617514,POINT (-73.7813889 40.7711111),,,Bayside High School,,school,,
357617517,POINT (-73.7855556 40.7663889),,,Our Lady of the Blessed Sacrament School,,school,,
357617520,POINT (-73.716389 40.7441666),,,Bellerose Jewish Center,,place_of_worship,,
357617524,POINT (-73.7125 40.7447222),,,Our Lady of the Snows Church,,place_of_worship,,
357617526,POINT (-73.7097222 40.7475),,,Saint Paul's Lutheran Church,,place_of_worship,,
357617537,POINT (-73.708889 40.7483333),,,Temple Sholom,,place_of_worship,,
357617546,POINT (-73.7158333 40.7494444),,,Tenney Park,park,,,
357617550,POINT (-73.7383333 40.7327778),,,Bell Park Jewish Center,,place_of_worship,,
357617553,POINT (-73.7277778 40.7258333),,,Bellerose Baptist Church,,place_of_worship,,
357617556,POINT (-73.7258333 40.7338889),,,Bellerose Church of God,,place_of_worship,,
357617559,POINT (-73.7397222 40.6966667),,,Cambria Heights Community Church,,place_of_worship,,
357617562,POINT (-73.7344444 40.7197222),,,Embury United Methodist Church,,place_of_worship,,
357617565,POINT (-73.7491667 40.6966667),,,English Lutheran Church,,place_of_worship,,
357617568,POINT (-73.7388889 40.6825),,,Epiphany Lutheran Church,,place_of_worship,,
357617571,POINT (-73.7386111 40.7194444),,,First United Presbyterian Church,,place_of_worship,,
357617574,POINT (-73.7352778 40.7136111),,,Grace Lutheran Church,,place_of_worship,,
357617577,POINT (-73.7463889 40.7088889),,,Hollis Avenue Congregational Church,,place_of_worship,,
357617580,POINT (-73.7200001 40.7302779),,,Holy Trinity Lutheran Church,,place_of_worship,,
357617584,POINT (-73.7372222 40.6963889),,,Holy Trinity Parish Church,,place_of_worship,,
357617587,POINT (-73.718889 40.7333333),,,House of Hope Presbyterian Church,,place_of_worship,,
357617590,POINT (-73.7458333 40.68),,,Lebanon Seventh Day Adventist Church,,place_of_worship,,
357617593,POINT (-73.7441667 40.6727778),,,Linden Seventh Day Adventist Church,,place_of_worship,,
357617597,POINT (-73.7397222 40.7211111),,,Mount Sinai Seventh Day Adventist Church,,place_of_worship,,
357617599,POINT (-73.7366667 40.7227778),,,Our Lady of Lourdes Church,,place_of_worship,,
357617602,POINT (-73.7327778 40.6988889),,,Prince of Peace Lutheran Church,,place_of_worship,,
357617606,POINT (-73.7394444 40.7202778),,,Queens Baptist Church,,place_of_worship,,
357617609,POINT (-73.735 40.7188889),,,Queens Reformed Church,,place_of_worship,,
357617612,POINT (-73.7336182 40.663716),,,Rosedale Jewish Center,,place_of_worship,,
357617615,POINT (-73.7377778 40.6983333),,,Sacred Heart Church,,place_of_worship,,
357617619,POINT (-73.7364346 40.6683221),,,Saint Clare Roman Catholic Church,,place_of_worship,,
357617622,POINT (-73.7274999 40.6897223),,,Saint David's Episcopal Church,,place_of_worship,,
357617625,POINT (-73.7247222 40.7294444),,,Saint Gregory the Great Church,,place_of_worship,,
357617628,POINT (-73.7372222 40.6755556),,,Saint Luke Baptist Church,,place_of_worship,,
357617631,POINT (-73.733611 40.6675001),,,Saint Peter's Episcopal Church,,place_of_worship,,
357617634,POINT (-73.7383333 40.6558334),,,Saint Pius X Church,,place_of_worship,,
357617637,POINT (-73.7386111 40.7116667),,,Saints Joachim and Anne Church,,place_of_worship,,
357617640,POINT (-73.7362361 40.6640253),,,Throop Memorial Presbyterian Church,,place_of_worship,,
357617643,POINT (-73.8733333 40.7416667),,,Bethany Lutheran Church,,place_of_worship,,
357617646,POINT (-73.7827779 40.7330555),,,Christ Evangelical Lutheran Church,,place_of_worship,,
357617650,POINT (-73.8363889 40.7188889),,,Congregation Ahavath Sholom,,place_of_worship,,
357617652,POINT (-73.8186111 40.7299999),,,Congregation Young Israel of Kew Gardens Hills,,place_of_worship,,
357617655,POINT (-73.8391667 40.7233333),,,First Presbyterian Church,,place_of_worship,,
357617659,POINT (-73.8477778 40.7216667),,,Forest Hills Jewish Center,,place_of_worship,,
357617662,POINT (-73.7830556 40.7424999),,,Fresh Meadows Jewish Center,,place_of_worship,,
357617665,POINT (-73.8719444 40.7427778),,,Geeta Temple Mandir,,place_of_worship,,
357617669,POINT (-73.7838889 40.7427778),,,Heavenly Voice Presbyterian Church,,place_of_worship,,
357617672,POINT (-73.7850001 40.7274999),,,Hillcrest Jewish Center,,place_of_worship,,
357617675,POINT (-73.7602777 40.7333332),,,Hollis Hills Jewish Center,,place_of_worship,,
357617678,POINT (-73.7547222 40.7322222),,,Hollis Woods Community Church,,place_of_worship,,
357617681,POINT (-73.793889 40.7291667),,,Holy Family Roman Catholic Church,,place_of_worship,,
357617686,POINT (-73.8727778 40.7430556),,,Iglesia Pentecostal Unida,,place_of_worship,,
357617689,POINT (-73.8019444 40.7283332),,,Israel Center of Hillcrest Manor,,place_of_worship,,
357617692,POINT (-73.8738889 40.7216667),,,Jewish Center of Forest Hills West,,place_of_worship,,
357617695,POINT (-73.8216667 40.7274999),,,Jewish Center of Kew Gardens Hills,,place_of_worship,,
357617699,POINT (-73.8408333 40.7194444),,,Our Lady Queen of Martyrs Church,,place_of_worship,,
357617702,POINT (-73.8638889 40.7277778),,,Our Saviour Lutheran Church,,place_of_worship,,
357617705,POINT (-73.7502779 40.7347221),,,Redeemer Lutheran Church,,place_of_worship,,
357617708,POINT (-73.8388889 40.7227778),,,Reform Temple of Forest Hills,,place_of_worship,,
357617712,POINT (-73.8223437 40.7444112),,,Saint Ann's Church,,place_of_worship,,
357617715,POINT (-73.8588889 40.7452778),,,Saint Leo Church,,place_of_worship,,
357617718,POINT (-73.8444325 40.7142486),,,Saint Luke's Episcopal Church,,place_of_worship,,
357617721,POINT (-73.8727778 40.7155556),,,Saint Margaret's Roman Catholic Church,,place_of_worship,,
357617724,POINT (-73.765 40.7497222),,,Saint Robert Bellarmine Roman Catholic Church,,place_of_worship,,
357617727,POINT (-73.7927779 40.7366667),,,Utopia Jewish Center,,place_of_worship,,
357617730,POINT (-73.7572222 40.7477778),,,Yale Presbyterian Church,,place_of_worship,,
357617734,POINT (-73.7841667 40.7363889),,,Little Meadows Early Childhood Center,,school,,
357617737,POINT (-73.8658333 40.7211111),,,Our Saviour Lutheran School,,school,,
357617740,POINT (-73.8722222 40.7286111),,,Resurrection - Ascension School,,school,,
357617743,POINT (-73.7761111 40.7425),,,Saint Francis Preparatory School,,school,,
357617747,POINT (-73.8727778 40.7158333),,,Saint Margaret's Religious Education Center,,school,,
357617750,POINT (-73.8480556 40.7302778),,,Sha - Arei Zion Ohel Bracha,,school,,
357617753,POINT (-73.8038889 40.7191666),,,All Saints Lutheran Church,,place_of_worship,,
357617756,POINT (-73.7969444 40.7058333),,,First Presbyterian Church,,place_of_worship,,
357617760,POINT (-73.7677778 40.7116667),,,First United Methodist Church,,place_of_worship,,
357617763,POINT (-73.8013889 40.7097222),,,Highland Church,,place_of_worship,,
357617766,POINT (-73.7627778 40.7080556),,,Hollis Presbyterian Church,,place_of_worship,,
357617769,POINT (-73.7697222 40.7130556),,,Holy Trinity Lutheran Church,,place_of_worship,,
357617773,POINT (-73.7677778 40.7133333),,,Iglesia Cristiana Pentecostal,,place_of_worship,,
357617776,POINT (-73.785 40.7147222),,,Immaculate Conception Church,,place_of_worship,,
357617779,POINT (-73.7575 40.7197222),,,Incarnation Roman Catholic Church,,place_of_worship,,
357617782,POINT (-73.8316668 40.7072221),,,Kew Gardens Synagogue,,place_of_worship,,
357617786,POINT (-73.7872222 40.7097222),,,Lutheran Church of Our Savior,,place_of_worship,,
357617789,POINT (-73.8175 40.7172221),,,Lutheran Church of the Ascension,,place_of_worship,,
357617792,POINT (-73.7688889 40.7127778),,,New Bay Apostolic Church,,place_of_worship,,
357617795,POINT (-73.7636111 40.7130556),,,Saint Gabriel's Anglican Church,,place_of_worship,,
357617799,POINT (-73.7702778 40.7122222),,,Saint Gerard Magella Catholic Church,,place_of_worship,,
357617802,POINT (-73.81 40.718611),,,Saint Nicholas of Tolentine Roman Catholic Church,,place_of_worship,,
357617804,POINT (-73.8286112 40.7105556),,,Sung Shin Prest Presbyterian Church,,place_of_worship,,
357617808,POINT (-73.7761111 40.7219444),,,Temple Israel of Jamaica,,place_of_worship,,
357617811,POINT (-73.8034765 40.7056638),,,Mary Immaculate Hospital,,hospital,,
357617814,POINT (-73.8080556 40.7208333),,,Saint Josephs Hospital (historical),,hospital,,
357617817,POINT (-73.8033333 40.7097222),,,Hillcrest High School,,school,,
357617820,POINT (-73.7613889 40.6047222),,,Bayswater Jewish Center,,place_of_worship,,
357617823,POINT (-73.7511111 40.6036111),,,Bethel Temple Church of God,,place_of_worship,,
357617826,POINT (-73.8525 40.5736111),,,Congregation Ohav Zedek,,place_of_worship,,
357617829,POINT (-73.7525 40.6083333),,,First Baptist Church,,place_of_worship,,
357617832,POINT (-73.7544444 40.6086111),,,First Church of God,,place_of_worship,,
357617835,POINT (-73.8169445 40.5875001),,,First Congregational Church,,place_of_worship,,
357617838,POINT (-73.7508333 40.6030556),,,Refuge Church of Christ,,place_of_worship,,
357617841,POINT (-73.8208333 40.5836111),,,Saint Camillus Church,,place_of_worship,,
357617845,POINT (-73.8486111 40.5761111),,,Saint Francis De Sales Church,,place_of_worship,,
357617848,POINT (-73.7702778 40.5958333),,,Saint Gertrude's Church,,place_of_worship,,
357617855,POINT (-73.8094444 40.5861111),,,Saint Rose of Lima Church,,place_of_worship,,
357617858,POINT (-73.9141667 40.5602778),,,Saint Thomas More Roman Catholic Church,,place_of_worship,,
357617861,POINT (-73.8183333 40.6075),,,Saint Virgilius Roman Catholic Church,,place_of_worship,,
357617864,POINT (-73.7827778 40.5925),,,Solid Rock Seventh Day Adventist Church,,place_of_worship,,
357617868,POINT (-73.8097222 40.5872222),,,Temple of Israel,,place_of_worship,,
357617870,POINT (-73.865 40.5733333),,,West End Temple,,place_of_worship,,
357617873,POINT (-73.8488889 40.5763889),,,Saint Francis De Sales School,,school,,
357617876,POINT (-73.8094444 40.5866667),,,Saint Rose of Lima School,,school,,
357617880,POINT (-73.8522222 40.5738889),,,Yeshiva of Belle Harbor,,school,,
357617883,POINT (-73.8208333 40.6063889),,,Public School 47,,school,,
357617886,POINT (-73.8977778 40.6991667),,,Agape Christian Center,,place_of_worship,,
357617890,POINT (-73.8975 40.7033333),,,Covenant Lutheran Church,,place_of_worship,,
357617894,POINT (-73.9002778 40.7047222),,,Emmaus Evangelical Lutheran Church,,place_of_worship,,
357617897,POINT (-73.9019444 40.7086111),,,Evangelical Fellowship Chapel,,place_of_worship,,
357617900,POINT (-73.9091667 40.7144444),,,First Church of Christ,,place_of_worship,,
357617903,POINT (-73.9038889 40.7086111),,,First Romanian Baptist Church,,place_of_worship,,
357617907,POINT (-73.8994444 40.7069444),,,New Apostolic Church,,place_of_worship,,
357617910,POINT (-73.9027778 40.7113889),,,Our Lady of the Miraculous Medal Church,,place_of_worship,,
357617913,POINT (-73.8936111 40.7047222),,,Ridgewood Baptist Church,,place_of_worship,,
357617917,POINT (-73.9 40.7011111),,,Ridgewood Presbyterian Church,,place_of_worship,,
357617920,POINT (-73.9058333 40.7061111),,,Ridgewood Seventh Day Adventist Church,,place_of_worship,,
357617923,POINT (-73.9097222 40.7036111),,,Saint John's Ridgewood United Methodist Church,,place_of_worship,,
357617926,POINT (-73.9086111 40.7052778),,,Saint Mark's United Church of Christ,,place_of_worship,,
357617930,POINT (-73.9077778 40.7058333),,,Saint Mary and Saint Antonios Coptic Orthodox Church,,place_of_worship,,
357617934,POINT (-73.8836111 40.7013889),,,Saint Pancras Church,,place_of_worship,,
357617938,POINT (-73.9013889 40.7075),,,Trinity Reformed Church,,place_of_worship,,
357617941,POINT (-73.9061111 40.7161111),,,Trinity - Saint Andrew's Lutheran Church,,place_of_worship,,
357617944,POINT (-73.8811111 40.7599999),,,Atonement Lutheran Church,,place_of_worship,,
357617947,POINT (-73.8988889 40.7683333),,,Augustana Evangelical Lutheran Church,,place_of_worship,,
357617950,POINT (-73.9027778 40.7522222),,,Christ Lutheran Church,,place_of_worship,,
357617953,POINT (-73.8805556 40.7586111),,,Congregation Tifereth Israel,,place_of_worship,,
357617956,POINT (-73.9022222 40.7561111),,,Corpus Christi Church,,place_of_worship,,
357617959,POINT (-73.8984724 40.7576857),,,Immanuel Baptist Church,,place_of_worship,,
357617961,POINT (-73.8894445 40.7586111),,,Islamic Center of Jackson Heights,,place_of_worship,,
357617965,POINT (-73.8852779 40.7513888),,,Jackson Heights United Methodist Church,,place_of_worship,,
357617968,POINT (-73.8888889 40.7625),,,Our Lady of Fatima Church,,place_of_worship,,
357617971,POINT (-73.8827778 40.7327778),,,Saint Adalbert Catholic Church,,place_of_worship,,
357617974,POINT (-73.8925 40.7422222),,,Saint Jacobus Evangelical Lutheran Church,,place_of_worship,,
357617978,POINT (-73.8838889 40.7513889),,,Saint Joan of Arc Roman Catholic Church,,place_of_worship,,
357617981,POINT (-73.8855557 40.7538888),,,Saint Mark's Episcopal Church,,place_of_worship,,
357617984,POINT (-73.8925 40.7386111),,,Saint Mary's Help of Christians Church,,place_of_worship,,
357617986,POINT (-73.9022222 40.7491666),,,Saint Mary's Orthodox Christian Church,,place_of_worship,,
357617989,POINT (-73.89 40.7452778),,,Saint Matthew Lutheran Church,,place_of_worship,,
357617992,POINT (-73.9066667 40.7461111),,,Saint Sebastian's Roman Catholic Church,,place_of_worship,,
357617995,POINT (-73.9213889 40.7375),,,Saint Teresa's Roman Catholic Church,,place_of_worship,,
357617998,POINT (-73.8919444 40.7433333),,,Seventh Day Adventist Church,,place_of_worship,,
357618001,POINT (-73.9008333 40.7508333),,,Shri Guru Ravidas Sabha of New York,,place_of_worship,,
357618004,POINT (-73.9052778 40.7480555),,,Templo Del Avivamiento Cristi,,place_of_worship,,
357618007,POINT (-73.8986111 40.7430556),,,Winfield Reformed Church,,place_of_worship,,
357618010,POINT (-73.9066667 40.7444444),,,Woodside Community Baptist Church,,place_of_worship,,
357618014,POINT (-73.9380556 40.76),,,Adath Israel Center,,place_of_worship,,
357618017,POINT (-73.9083333 40.7772222),,,Grace Lutheran Church,,place_of_worship,,
357618020,POINT (-73.9247222 40.7644444),,,Holy Cross Ukrainian Church,,place_of_worship,,
357618024,POINT (-73.9227778 40.7633333),,,Iglesia Adventista Septimo Dia,,place_of_worship,,
357618027,POINT (-73.9197222 40.7630556),,,Open Door Bible Baptist Church,,place_of_worship,,
357618030,POINT (-73.9230556 40.7627778),,,Presbyterian Church of Astoria (historical),,place_of_worship,,
357618034,POINT (-73.9197222 40.7463889),,,Queen of Angels Roman Catholic Church,,place_of_worship,,
357618041,POINT (-73.9116667 40.7588889),,,Saint Andrews Church,,place_of_worship,,
357618044,POINT (-73.9227778 40.7658333),,,Saint Demetrios Greek Orthodox Church,,place_of_worship,,
357618047,POINT (-73.9122222 40.7627778),,,Saint Joseph's Roman Catholic Church,,place_of_worship,,
357618050,POINT (-73.9158333 40.7772222),,,Saint Markella Greek Orthodox Church,,place_of_worship,,
357618054,POINT (-73.94 40.7605556),,,Saint Rita's Roman Catholic Church,,place_of_worship,,
357618057,POINT (-73.9222223 40.7419445),,,Sunnyside Jewish Center,,place_of_worship,,
357618060,POINT (-73.9222222 40.7655556),,,Taiwan Union Christian Church,,place_of_worship,,
357618063,POINT (-73.9102778 40.7727778),,,Trinity and Saint Joseph Church,,place_of_worship,,
357618066,POINT (-73.9194444 40.7616667),,,Trinity Lutheran Church,,place_of_worship,,
357618069,POINT (-73.9222222 40.7644444),,,Yugoslavian Seventh Day Adventist Church,,place_of_worship,,
357618072,POINT (-73.9161111 40.7463889),,,Sunnyside Reformed Church,,place_of_worship,,
357618075,POINT (-73.9585875 40.744746),,,Gantry Plaza State Park,park,,,
357618078,POINT (-73.9369444 40.7513889),,,Academy of American Studies,,school,,
357618081,POINT (-73.8083333 40.6747222),,,Al-Ihsan Academy,,school,,
357618084,POINT (-73.7547222 40.735),,,American Martyrs School,,school,,
357618086,POINT (-73.7461111 40.6983333),,,Business and Computer Applications High School,,school,,
357618089,POINT (-73.7466667 40.6777778),,,Christopher Robin Academy,,school,,
357618092,POINT (-73.7635912 40.6018305),,,Q465 Far Rockaway High School,,school,,
357618096,POINT (-73.8886111 40.7541667),,,Garden School,,school,,
357618099,POINT (-73.9075 40.7438889),,,Greater New York Academy,,school,,
357618102,POINT (-73.8380556 40.6986111),,,Holy Child Jesus School,,school,,
357618104,POINT (-73.8255556 40.7858333),,,Holy Trinity School,,school,,
357618108,POINT (-73.7461111 40.6983333),,,Humanities and the Arts Magnet High School,,school,,
357618111,POINT (-73.9336111 40.7683333),,,Ideal Islamic School,,school,,
357618114,POINT (-73.7527778 40.7055556),,,Intermediate School 192,,school,,
357618118,POINT (-73.8752778 40.7583333),,,Intermediate School 227,,school,,
357618121,POINT (-73.8936111 40.7613889),,,Lexington School for the Deaf,,school,,
357618123,POINT (-73.7863889 40.7708333),,,Lowell School,,school,,
357618127,POINT (-73.7725 40.7677778),,,Lutheran School of Flushing and Bayside,,school,,
357618130,POINT (-73.7461111 40.6983333),,,Magnet School of Law and Government,,school,,
357618133,POINT (-73.7461111 40.6983333),,,"Math, Science, Research and Technology Magnet High School",,school,,
357618136,POINT (-73.8163889 40.6752778),,,Middle School 226,,school,,
357618139,POINT (-73.9213889 40.7591667),,,Most Precious Blood School,,school,,
357618142,POINT (-73.7636111 40.6727778),,,New World Education Center,,school,,
357618145,POINT (-73.9369444 40.7513889),,,Newcomers School,,school,,
357618149,POINT (-73.7961111 40.6741667),,,Omega Psi Phi Fraternity School,,school,,
357618152,POINT (-73.9241667 40.7713889),,,Our Lady of Mount Carmel School,,school,,
357618155,POINT (-73.9022222 40.7116667),,,Our Lady of the Miraculous Medal School,,school,,
357618158,POINT (-73.9241667 40.7558333),,,Our World Neighborhood Charter School,,school,,
357618162,POINT (-73.8530556 40.6913889),,,Public School 60,,school,,
357618165,POINT (-73.9291667 40.7711111),,,Public School 171,,school,,
357618168,POINT (-73.76 40.7533333),,,Public School 203,,school,,
357618171,POINT (-73.8438889 40.6583333),,,Public School 207,,school,,
357618174,POINT (-73.8847222 40.7533333),,,Public School 212,,school,,
357618176,POINT (-73.8791667 40.7505556),,,Public School 222,,school,,
357618179,POINT (-73.8972222 40.7347222),,,Public School 229,,school,,
357618182,POINT (-73.8927778 40.7525),,,Public School 230,,school,,
357618186,POINT (-73.7594444 40.6652778),,,Public School 251,,school,,
357618189,POINT (-73.9311111 40.7544444),,,Queens Lutheran School,,school,,
357618192,POINT (-73.8847222 40.7497222),,,Renaissance Charter School,,school,,
357618195,POINT (-73.7311111 40.6922222),,,Revealed Word Christian School,,school,,
357618199,POINT (-73.8341667 40.695),,,Richmond Hill High School,,school,,
357618202,POINT (-73.9233333 40.7658333),,,Saint Demetrios Greek American School,,school,,
357618205,POINT (-73.85 40.6613889),,,Saint Helen School,,school,,
357618208,POINT (-73.845 40.7802778),,,Saint John Lutheran School,,school,,
357618212,POINT (-73.8130556 40.7908333),,,Whitestone Academy,,school,,
357618215,POINT (-73.8075 40.7008333),,,Archer Avenue Station Jamaica Post Office,,post_office,,
357618218,POINT (-73.9269444 40.7716667),,,Astoria Station Long Island City Post Office,,post_office,,
357618222,POINT (-73.7719444 40.7627778),,,Bayside Station Flushing Post Office,,post_office,,
357618226,POINT (-73.9304218 40.7650812),,,Broadway Station Long Island City Post Office,,post_office,,
357618229,POINT (-73.7302778 40.6919444),,,Cambria Station Jamaica Post Office,,post_office,,
357618231,POINT (-73.8475 40.7841667),,,College Point Station Flushing Post Office,,post_office,,
357618235,POINT (-73.8625 40.7472222),,,Corona A Station Flushing Post Office,,post_office,,
357618238,POINT (-73.865 40.7355556),,,Corona Station Flushing Post Office,,post_office,,
357618241,POINT (-73.8775 40.7380556),,,Elmhurst A Station Flushing Post Office,,post_office,,
357618245,POINT (-73.7505556 40.6033333),,,Far Rockaway General Post Office,,post_office,,
357618249,POINT (-73.8283333 40.7563889),,,Flushing Main Post Office,,post_office,,
357618251,POINT (-73.8472222 40.7216667),,,Forest Hills Station Flushing Post Office,,post_office,,
357618253,POINT (-73.7844444 40.7408333),,,Fresh Meadows Station Flushing Post Office,,post_office,,
357618257,POINT (-73.8983333 40.7066667),,,Fresh Pond Station Flushing Post Office,,post_office,,
357618260,POINT (-73.715 40.7461111),,,Glen Oaks Station Floral Park Post Office,,post_office,,
357618263,POINT (-73.8813051 40.701797),,,Glendale Station Flushing Post Office,,post_office,,
357618266,POINT (-73.7616667 40.7133333),,,Hollis Station Jamaica Post Office,,post_office,,
357618269,POINT (-73.8394444 40.6561111),,,Howard Beach Station Jamaica Post Office,,post_office,,
357618272,POINT (-73.8875 40.7491667),,,Jackson Heights Station Flushing Post Office,,post_office,,
357618275,POINT (-73.7980556 40.7077778),,,Jamaica Post Office,,post_office,,
357618278,POINT (-73.8197222 40.7233333),,,Kew Gardens Hills Post Office,,post_office,,
357618282,POINT (-73.8297222 40.7088889),,,Kew Gardens Station Jamaica Post Office,,post_office,,
357618285,POINT (-73.8269444 40.7708333),,,Linden Hill Station Flushing Post Office,,post_office,,
357618288,POINT (-73.7372222 40.7683333),,,Little Neck Station Flushing Post Office,,post_office,,
357618292,POINT (-73.9486111 40.7458333),,,Long Island City Post Office,,post_office,,
357618295,POINT (-73.8958333 40.7277778),,,Maspeth Station Flushing Post Office,,post_office,,
357618298,POINT (-73.88 40.7127778),,,Middle Village Station Flushing Post Office,,post_office,,
357618301,POINT (-73.9494444 40.7519444),,,Parcel Post Annex Long Island City Post Office,,post_office,,
357618305,POINT (-73.8516667 40.7108333),,,Parkside Station Flushing Post Office,,post_office,,
357618308,POINT (-73.9411111 40.7502778),,,Plaza Station Long Island City Post Office,,post_office,,
357618311,POINT (-73.8102436 40.7304362),,,Pomonok Station Flushing Post Office,,post_box,,
357618314,POINT (-73.8686111 40.7325),,,Rego Park Station Flushing Post Office,,post_office,,
357618318,POINT (-73.8286111 40.7011111),,,Richmond Hill Station Jamaica Post Office,,post_office,,
357618320,POINT (-73.9052778 40.6997222),,,Ridgewood Station Flushing Post Office,,post_office,,
357618323,POINT (-73.7402778 40.6594444),,,Rosedale Station Jamaica Post Office,,post_office,,
357618326,POINT (-73.7461111 40.6777778),,,Springfield Gardens Branch Jamaica Post Office,,post_office,,
357618330,POINT (-73.8288889 40.7597222),,,Station B Flushing Post Office,,post_office,,
357618333,POINT (-73.8305556 40.6594444),,,Station B Jamaica Post Office,,post_office,,
357618336,POINT (-73.9166667 40.7575),,,Steinway Station Long Island City Post Office,,post_office,,
357618339,POINT (-73.8052778 40.6752778),,,South Ozone Park Station Jamaica Post Office,,post_office,,
357618342,POINT (-73.8277778 40.6894444),,,South Richmond Hill Station Jamaica Post Office,,post_office,,
357618346,POINT (-73.9205556 40.7425),,,Sunnyside Station Long Island City Post Office,,post_office,,
357618349,POINT (-73.7858333 40.7275),,,Utopia Station Flushing Post Office,,post_office,,
357618352,POINT (-73.8138889 40.7877778),,,Whitestone Station Flushing Post Office,,post_office,,
357618355,POINT (-73.8616667 40.6927778),,,Woodhaven Station Jamaica Post Office,,post_office,,
357618358,POINT (-73.9027778 40.7463889),,,Woodside Station Flushing Post Office,,post_office,,
357618361,POINT (-73.9088889 40.7772222),,,Woolsey Station Long Island City Post Office,,post_office,,
357618364,POINT (-73.8016667 40.7041667),,,Grace Cemetery,,grave_yard,,
357618368,POINT (-73.7704875 40.7183225),,,Holliswood Hospital,,hospital,,
357618371,POINT (-73.7256389 40.7456243),,,Queens Children's Psychiatric Center,,hospital,,
357618374,POINT (-73.8727778 40.7336111),,,Saint John's Hospital Queens Center,,hospital,,
357618377,POINT (-73.925 40.7683333),,,Western Queens Community Hospital,,hospital,,
357618380,POINT (-73.9177778 40.77),,,Columbus Triangle,park,,,
357618383,POINT (-73.7852778 40.7719444),,,Bayside Athletic Field,park,,,
357618386,POINT (-73.7691667 40.6),,,Michaelis-Bayswater Park,park,,,
357618389,POINT (-73.8188889 40.6108333),,,Veterans Park,park,,,
357618392,POINT (-73.7886111 40.7827778),,,Clearview Park,park,,,
357618396,POINT (-73.8033333 40.6805556),,,Doctor Charles R Drew Memorial Park,park,,,
357618399,POINT (-73.7891667 40.6013889),,,Dubos Point Wildlife Sanctuary,park,,,
357618401,POINT (-73.78 40.6038889),,,Rockaway Community Park,park,,,
357618404,POINT (-73.8341975 40.7847008),,,Frank Golden Park,park,,,
357618411,POINT (-73.7486111 40.5947222),,,O'Donohue Park,park,,,
357618414,POINT (-73.8352778 40.7883333),,,Powell's Cove Park,park,,,
357618417,POINT (-73.8294444 40.7502778),,,Queens Botanical Gardens,park,,,
357618421,POINT (-73.9488889 40.7563889),,,Queensbridge Park,park,,,
357618425,POINT (-73.7727778 40.6869444),,,Roy Wilkins Southern Queens Park,park,,,
357618428,POINT (-73.7461111 40.7786111),,,Udall's Cove Park,park,,,
357618432,POINT (-73.8452778 40.7463889),,,Unisphere,park,,,
357618435,POINT (-73.7947222 40.7205556),,,Saint Thomas More Church,,place_of_worship,,
357618438,POINT (-73.7988889 40.7008333),,,York College the City University of New York,,school,,
357618441,POINT (-73.7930556 40.7241667),,,Betson Stadium,park,,,
357618445,POINT (-73.7969444 40.7227778),,,DeSilva Memorial Field,park,,,
357618448,POINT (-73.7980556 40.7183333),,,Redstorm Field,park,,,
357618451,POINT (-73.7922222 40.7233333),,,The Ballpark at Saint John's,park,,,
357618454,POINT (-73.8214411 40.7348679),,,Q525 Townsend Harris High School,,school,,
357618458,POINT (-73.8183333 40.7363889),,,Campbell Plaza,park,,,
357618462,POINT (-73.8202778 40.7355556),,,Cooperman Plaza,park,,,
357618465,POINT (-73.8177778 40.7358333),,,Kaufman Garden,park,,,
357618468,POINT (-73.7077778 40.7536111),,,Francis and Alexander Cohen Institute of Oncology,,hospital,,
357618471,POINT (-73.7075 40.7555556),,,Parker Jewish Institute for Health Care and Rehabilitation,,hospital,,
