,wdir
180.0,0.11604629340006256
170.0,0.084141382546137
130.0,0.05786675007819831
160.0,0.0569283703472005
140.0,0.05254926493587739
120.0,0.048795746011886146
190.0,0.04723177979355646
150.0,0.04598060681889271
110.0,0.04035032843290585
100.0,0.026900218955270568
200.0,0.022521113543947452
90.0,0.016265248670628715
210.0,0.010947763528307789
340.0,0.010009383797309979
330.0,0.009071004066312168
300.0,0.008445417578980294
310.0,0.007507037847982484
280.0,0.007194244604316547
290.0,0.007194244604316547
260.0,0.0065686581169846735
80.0,0.0065686581169846735
320.0,0.0059430716296528
220.0,0.0059430716296528
270.0,0.005004691898654989
250.0,0.0046918986549890525
360.0,0.0046918986549890525
10.0,0.004066312167657179
350.0,0.003440725680325305
70.0,0.003440725680325305
230.0,0.0031279324366593683
240.0,0.0025023459493274947
20.0,0.002189552705661558
60.0,0.001876759461995621
50.0,0.0009383797309978105
40.0,0.0006255864873318737
30.0,0.0006255864873318737
