,dewPt
55.0,0.10353456365342509
54.0,0.09727869878010635
53.0,0.06568658116984673
50.0,0.060369096027525805
56.0,0.05974350954019393
52.0,0.048795746011886146
51.0,0.0475445730372224
49.0,0.04566781357522678
48.0,0.04410384735689709
45.0,0.03409446355958711
43.0,0.03127932436659368
47.0,0.03065373787926181
46.0,0.030340944635595873
57.0,0.02877697841726619
44.0,0.025961839224272757
42.0,0.021269940569283705
41.0,0.018454801376290273
39.0,0.0178292148889584
40.0,0.016265248670628715
58.0,0.0118861432593056
33.0,0.010947763528307789
30.0,0.010009383797309979
31.0,0.008132624335314358
34.0,0.00781983109164842
26.0,0.007194244604316547
38.0,0.00688145136065061
37.0,0.006255864873318737
18.0,0.006255864873318737
28.0,0.0059430716296528
35.0,0.0059430716296528
19.0,0.0059430716296528
21.0,0.005630278385986863
36.0,0.005630278385986863
16.0,0.005317485142320926
20.0,0.005317485142320926
29.0,0.0046918986549890525
27.0,0.004379105411323116
22.0,0.004066312167657179
24.0,0.004066312167657179
17.0,0.003753518923991242
13.0,0.003753518923991242
14.0,0.003440725680325305
15.0,0.0031279324366593683
25.0,0.0031279324366593683
23.0,0.0028151391929934315
12.0,0.0015639662183296842
59.0,0.0015639662183296842
1.0,0.0006255864873318737
3.0,0.0006255864873318737
4.0,0.0006255864873318737
11.0,0.0006255864873318737
-6.0,0.00031279324366593683
8.0,0.00031279324366593683
6.0,0.00031279324366593683
-7.0,0.00031279324366593683
-1.0,0.00031279324366593683
10.0,0.00031279324366593683
0.0,0.00031279324366593683
